# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
20              	((-5.89771731e-04 -1.31306507e-01 -6.73831663e-04) (-5.56237537e-05 3.94436854e-03 8.53034676e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.81979322e-06 -2.87660542e-06 1.44251742e-05) (-1.19566598e-07 -2.78870313e-07 8.21395787e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
21              	((2.42442039e-04 -1.41021279e-01 -5.98698289e-04) (-3.86113405e-05 5.20859480e-03 6.25689625e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.21540458e-06 -1.08001952e-05 -7.35304979e-06) (-2.21720769e-07 -2.44825080e-07 5.15286503e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
22              	((7.87269187e-04 -5.33971577e-02 -4.99737936e-04) (-2.85479306e-05 5.77586127e-03 3.34231331e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.09357679e-05 -1.57562072e-05 -2.38066563e-05) (-2.77189429e-07 -2.04945552e-07 2.97480085e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
23              	((9.97267550e-04 7.72680722e-02 -3.98882327e-04) (-2.45676165e-05 5.73279608e-03 4.56681894e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.19514943e-05 -1.74942116e-05 -3.42323643e-05) (-2.76599582e-07 -1.97084088e-07 2.31185744e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
24              	((6.83577566e-04 2.12534419e-01 -2.53480777e-04) (-2.35737635e-05 5.27151934e-03 -1.88483475e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.93999625e-06 -1.53963479e-05 -2.56270878e-05) (-2.56466745e-07 -1.89460648e-07 1.97702177e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
25              	((1.88339376e-04 3.14431301e-01 -1.28081398e-04) (-2.45985023e-05 4.64845594e-03 -2.02087009e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.83333453e-06 -1.06724455e-05 -9.30855201e-06) (-2.02905576e-07 -1.65791865e-07 1.82228431e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
26              	((-2.59101260e-04 3.64452977e-01 -5.63845953e-05) (-2.21839551e-05 4.04750840e-03 -1.10848708e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.70306978e-07 -5.46566245e-06 6.09714972e-06) (-1.43216084e-07 -1.49953215e-07 1.70540651e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
27              	((-5.12907831e-04 3.65062772e-01 -2.39639829e-05) (-1.89252969e-05 3.57846754e-03 -6.47973046e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.81875332e-06 -5.98489660e-07 1.56617471e-05) (-1.07104497e-07 -1.35127391e-07 1.74368641e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
28              	((-5.69524332e-04 3.29074994e-01 -3.44833087e-05) (-1.70032903e-05 3.27972569e-03 4.52821083e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.16666421e-06 2.80412613e-06 1.88269272e-05) (-7.57940523e-08 -1.20502562e-07 1.80912612e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
29              	((-4.96421665e-04 2.76710467e-01 -6.80489718e-05) (-1.55318517e-05 3.13040860e-03 6.44800187e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((3.16624451e-06 4.50823634e-06 1.74690565e-05) (-6.94737980e-08 -1.01105164e-07 1.75400375e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
30              	((-2.83691029e-04 2.25020901e-01 -1.17520814e-04) (-1.32329877e-05 3.07588939e-03 1.56510685e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.10446630e-06 4.33660467e-06 1.02709938e-05) (-5.32225053e-08 -7.92345769e-08 1.38379511e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
31              	((-3.93391523e-05 1.87405679e-01 -1.56615475e-04) (-1.10635974e-05 3.05764038e-03 1.63654350e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.37061709e-07 2.93298789e-06 1.18100074e-06) (-5.50715184e-08 -6.36327011e-08 1.04425544e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
32              	((1.48691240e-04 1.69883423e-01 -1.74897690e-04) (-9.33598147e-06 3.03280248e-03 1.49488839e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.29184522e-07 9.84274800e-07 -6.11501358e-06) (-6.39767039e-08 -5.23897255e-08 7.87771664e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
33              	((2.49380693e-04 1.71261815e-01 -1.73722054e-04) (-7.59690117e-06 2.97987843e-03 1.37526367e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.74303006e-06 -9.37370727e-07 -1.03129590e-05) (-6.67774777e-08 -4.33083447e-08 4.09974839e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
34              	((2.58588816e-04 1.85490392e-01 -1.55240169e-04) (-6.28801890e-06 2.89637604e-03 1.69906950e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.30193306e-06 -2.46323360e-06 -1.11170883e-05) (-6.12748461e-08 -3.34289605e-08 2.29443047e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
