# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
167             	((5.61688223e-06 2.23181975e-01 2.17686821e-05) (2.67382315e-07 2.08446062e-03 4.92025009e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.55516314e-07 4.03836058e-07 -3.28093413e-07) (1.01733609e-08 1.41040137e-08 2.70332496e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
168             	((5.44188471e-06 2.23079969e-01 2.15779249e-05) (1.54294931e-07 2.08645493e-03 3.89180353e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.56774656e-07 3.94824462e-07 -3.20367260e-07) (8.68935592e-09 1.43785181e-08 4.07363942e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
169             	((5.02856576e-06 2.22981047e-01 2.13647387e-05) (5.38656949e-08 2.08823792e-03 3.58226836e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.54116337e-07 3.92112582e-07 -3.03435081e-07) (7.67672685e-09 1.41361543e-08 4.99099900e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
170             	((4.87691951e-06 2.22882776e-01 2.11903177e-05) (8.85984632e-08 2.08998909e-03 4.07939097e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.52331082e-07 3.83850934e-07 -2.94768399e-07) (8.87934988e-09 1.56042702e-08 4.26842415e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
171             	((4.93611061e-06 2.22783315e-01 2.10121732e-05) (2.04086958e-07 2.09201286e-03 5.51797495e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.50551750e-07 3.79005998e-07 -2.94913010e-07) (1.13772108e-08 1.40180556e-08 2.74658610e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
172             	((4.70434504e-06 2.22683997e-01 2.08682261e-05) (1.24442406e-07 2.09391815e-03 5.66039938e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.49555518e-07 3.73114765e-07 -2.81820583e-07) (1.15210789e-08 1.33412004e-08 3.78012260e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
173             	((4.66588184e-06 2.22585053e-01 2.08084664e-05) (1.22997501e-07 2.09572811e-03 4.13823487e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.48785732e-07 3.64880918e-07 -2.75415867e-07) (9.47072378e-09 1.43278281e-08 3.20622036e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
174             	((4.58200608e-06 2.22481288e-01 2.04755292e-05) (1.99925589e-07 2.09729209e-03 5.87571677e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.43707842e-07 3.59696447e-07 -2.74942743e-07) (1.18603680e-08 1.46035457e-08 2.59944796e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
175             	((4.45675645e-06 2.22375093e-01 2.01130805e-05) (1.87214143e-07 2.09918017e-03 5.88430479e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.43034208e-07 3.51369055e-07 -2.71906461e-07) (1.22339550e-08 1.59812567e-08 2.82828720e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
176             	((4.58299466e-06 2.22276074e-01 1.97926251e-05) (1.76209126e-07 2.10099286e-03 5.50456408e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.40071269e-07 3.43554555e-07 -2.74220964e-07) (1.10848724e-08 1.47800598e-08 2.22674954e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
177             	((4.15480433e-06 2.22181684e-01 1.95200508e-05) (6.08696866e-08 2.10255217e-03 4.44063169e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.36606488e-07 3.39896644e-07 -2.56962614e-07) (9.56958768e-09 1.24380777e-08 3.90131359e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
178             	((3.87442081e-06 2.22090713e-01 1.92381865e-05) (1.27713149e-07 2.10409067e-03 4.52886329e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.31089392e-07 3.33521584e-07 -2.47717364e-07) (9.96136322e-09 1.54073246e-08 3.06243361e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
179             	((3.98265807e-06 2.22001239e-01 1.89849419e-05) (9.48612606e-08 2.10579251e-03 5.95765812e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.29108342e-07 3.25176762e-07 -2.45083315e-07) (1.32370515e-08 1.65202303e-08 2.68206197e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
180             	((3.51720248e-06 2.21910549e-01 1.88209857e-05) (2.97580027e-08 2.10746987e-03 4.66117782e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.27853726e-07 3.20602243e-07 -2.24460907e-07) (1.02548719e-08 1.39586572e-08 3.83153076e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
181             	((3.58850572e-06 2.21815087e-01 1.85137022e-05) (1.25093355e-07 2.10923612e-03 5.63165602e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.26296484e-07 3.18591468e-07 -2.32881009e-07) (1.17678718e-08 1.21530733e-08 2.38140637e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
182             	((4.00436874e-06 2.21717129e-01 1.82191295e-05) (1.13190628e-07 2.11051719e-03 5.01857591e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.24514036e-07 3.13183714e-07 -2.45778930e-07) (1.08047979e-08 1.26044529e-08 1.83503002e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
183             	((3.74055148e-06 2.21620427e-01 1.79607193e-05) (7.53299847e-08 2.11192149e-03 3.82480940e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.20498344e-07 3.04685012e-07 -2.35612310e-07) (8.70786595e-09 1.32912631e-08 3.13799116e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
184             	((3.69823254e-06 2.21528277e-01 1.75491220e-05) (1.27169824e-07 2.11389188e-03 4.47041668e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.13369703e-07 2.96035496e-07 -2.37724574e-07) (9.75736906e-09 1.33776392e-08 2.20666157e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
185             	((3.64645696e-06 2.21440200e-01 1.73387538e-05) (1.30713012e-07 2.11537055e-03 4.75054562e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.12177639e-07 2.87451924e-07 -2.29327864e-07) (1.07083842e-08 1.41036025e-08 1.78669379e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
186             	((3.60576615e-06 2.21354056e-01 1.71138020e-05) (1.60992019e-07 2.11634436e-03 4.79150586e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.10315516e-07 2.82487770e-07 -2.25624834e-07) (1.06864458e-08 1.29184367e-08 1.48772953e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
187             	((3.16892713e-06 2.21268373e-01 1.69463991e-05) (3.32821729e-08 2.11791265e-03 3.48764971e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.07546031e-07 2.77458760e-07 -2.05605097e-07) (8.34664413e-09 1.37981073e-08 2.80640033e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
188             	((3.02376322e-06 2.21183646e-01 1.66957635e-05) (6.40429750e-08 2.11976017e-03 4.39101112e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.03894206e-07 2.71646737e-07 -1.95180833e-07) (9.64372131e-09 1.48381378e-08 1.98885452e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
189             	((2.68062273e-06 2.21095677e-01 1.65519269e-05) (1.12678630e-07 2.12110185e-03 4.70141386e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.03005268e-07 2.66861437e-07 -1.87989283e-07) (1.04357183e-08 1.37593986e-08 2.17792339e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
190             	((3.01926090e-06 2.21002138e-01 1.63012895e-05) (1.99387626e-07 2.12232671e-03 4.30094447e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.00967034e-07 2.63353803e-07 -2.05272707e-07) (9.98166313e-09 1.20488061e-08 5.11532611e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
191             	((2.98885668e-06 2.20908413e-01 1.61020045e-05) (6.97382477e-08 2.12394190e-03 4.73016379e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((2.01449589e-07 2.57221688e-07 -1.98732051e-07) (1.04629585e-08 1.44163394e-08 1.95180274e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
192             	((3.10688204e-06 2.20820843e-01 1.58544775e-05) (2.42628248e-08 2.12546490e-03 4.63752469e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.98827011e-07 2.51271671e-07 -1.98598116e-07) (1.06367011e-08 1.48754954e-08 2.01591091e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
193             	((2.80392900e-06 2.20734853e-01 1.56186612e-05) (5.11700419e-08 2.12650237e-03 3.80922019e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.94992217e-07 2.45705879e-07 -1.85351139e-07) (8.58692936e-09 1.47526209e-08 2.02778925e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
194             	((2.86313620e-06 2.20648937e-01 1.54022289e-05) (2.22944505e-07 2.12805304e-03 3.20101358e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.92048762e-07 2.40765910e-07 -1.90955549e-07) (7.56284978e-09 1.29223498e-08 2.14602977e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
195             	((2.71305861e-06 2.20562824e-01 1.50051512e-05) (6.94760945e-09 2.12941252e-03 4.77122317e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.87427448e-07 2.35052673e-07 -1.80723309e-07) (1.12555370e-08 1.30793544e-08 2.31662038e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
196             	((2.61832416e-06 2.20476057e-01 1.46242053e-05) (8.22584770e-09 2.13056085e-03 4.58148859e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.80943818e-07 2.30153681e-07 -1.72531041e-07) (1.05845398e-08 1.39420584e-08 1.75538797e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
197             	((2.58766910e-06 2.20385254e-01 1.43980825e-05) (2.08734405e-07 2.13197573e-03 4.55543464e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.79852293e-07 2.25945507e-07 -1.81335670e-07) (1.05402533e-08 1.33736833e-08 6.35040358e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
198             	((2.64343416e-06 2.20296429e-01 1.41590493e-05) (1.15333387e-07 2.13355721e-03 4.37401381e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.78021595e-07 2.20540739e-07 -1.82863731e-07) (9.92237021e-09 1.37686705e-08 8.50923325e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
199             	((2.53715928e-06 2.20210590e-01 1.38211588e-05) (3.07678352e-08 2.13435669e-03 4.50274139e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.72364522e-07 2.16823993e-07 -1.77949379e-07) (1.10116224e-08 1.07603823e-08 1.60746210e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
200             	((2.24195681e-06 2.20129207e-01 1.36388357e-05) (-4.24463543e-08 2.13572484e-03 5.13495233e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.71124917e-07 2.10626045e-07 -1.58320298e-07) (1.17164102e-08 1.36011980e-08 2.15520875e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
201             	((2.19020383e-06 2.20050466e-01 1.35642259e-05) (1.23792274e-07 2.13691527e-03 4.34327691e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.68640034e-07 2.06773951e-07 -1.56758710e-07) (1.03226898e-08 1.23441195e-08 5.11303757e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
202             	((1.67846009e-06 2.19967790e-01 1.32716777e-05) (5.02195468e-08 2.13784153e-03 3.80709058e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.63945291e-07 2.02999783e-07 -1.34673607e-07) (8.98839477e-09 1.30543925e-08 1.71977154e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
203             	((1.50227427e-06 2.19883548e-01 1.32621371e-05) (2.85305625e-08 2.13915346e-03 3.88561839e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.65309732e-07 1.98372812e-07 -1.21757070e-07) (8.75194749e-09 1.44318789e-08 1.22861550e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
204             	((1.46189402e-06 2.19795472e-01 1.31036388e-05) (1.25172324e-07 2.14081578e-03 4.18089334e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.63554696e-07 1.94431905e-07 -1.26648240e-07) (9.87881403e-09 1.22044986e-08 5.76429077e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
205             	((1.72624232e-06 2.19701364e-01 1.26150439e-05) (4.21948497e-08 2.14169862e-03 5.33326737e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.57024132e-07 1.89652627e-07 -1.41926687e-07) (1.33074120e-08 1.03412429e-08 1.03110607e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
206             	((2.29072996e-06 2.19606895e-01 1.21041602e-05) (-3.02180102e-08 2.14250866e-03 5.88077031e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.52389843e-07 1.83727451e-07 -1.61065809e-07) (1.40362978e-08 1.18920172e-08 6.83078678e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
207             	((1.95455194e-06 2.19521833e-01 1.19293185e-05) (6.82657537e-08 2.14403454e-03 4.29883859e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.49903021e-07 1.76933854e-07 -1.46694996e-07) (9.72003389e-09 1.28798775e-08 1.54448268e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
208             	((1.58152415e-06 2.19440998e-01 1.17364354e-05) (1.39200973e-07 2.14509768e-03 3.65356978e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.47359559e-07 1.74146797e-07 -1.35110292e-07) (8.70605856e-09 1.22747976e-08 9.45474663e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
209             	((1.67461364e-06 2.19363785e-01 1.14754721e-05) (-1.99797849e-09 2.14616123e-03 3.91031469e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.41335492e-07 1.69604420e-07 -1.33929479e-07) (9.67683177e-09 1.27667842e-08 1.15424217e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
210             	((1.69477212e-06 2.19286087e-01 1.13262210e-05) (4.86653677e-08 2.14727340e-03 4.93719769e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.39787657e-07 1.67988684e-07 -1.33033484e-07) (1.19441828e-08 1.11713679e-08 1.97102053e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
211             	((1.29215588e-06 2.19205708e-01 1.11711491e-05) (9.10647449e-08 2.14846278e-03 4.69281893e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.37703602e-07 1.65646097e-07 -1.14496583e-07) (1.07086782e-08 1.21129011e-08 8.81505580e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
212             	((1.20549389e-06 2.19119298e-01 1.11708106e-05) (-7.91324270e-08 2.14967127e-03 3.73369081e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.38325177e-07 1.60090911e-07 -1.04781717e-07) (8.75453367e-09 1.24123517e-08 1.95695472e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
213             	((1.41344422e-06 2.19024313e-01 1.09639845e-05) (-3.90446366e-08 2.15054757e-03 4.23297263e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.36316321e-07 1.55159586e-07 -1.12320600e-07) (1.06728885e-08 1.15544496e-08 8.54454086e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
214             	((1.37499175e-06 2.18930412e-01 1.04770780e-05) (1.60070855e-07 2.15186766e-03 4.18739471e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.29981616e-07 1.52117512e-07 -1.25004422e-07) (1.07494484e-08 1.15741961e-08 4.31357258e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
215             	((1.34996407e-06 2.18843171e-01 1.01689149e-05) (4.10985628e-08 2.15292582e-03 4.34978736e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.24899358e-07 1.45492202e-07 -1.26162896e-07) (1.01402438e-08 1.40485591e-08 1.12838472e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
216             	((1.30549846e-06 2.18760442e-01 9.90083431e-06) (4.30034111e-08 2.15394521e-03 5.94154649e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.24985886e-07 1.41655962e-07 -1.19872263e-07) (1.38862068e-08 1.17323896e-08 3.76704112e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
217             	((1.26366507e-06 2.18679637e-01 9.77404525e-06) (8.30095570e-08 2.15493781e-03 3.71115605e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.20656910e-07 1.39979856e-07 -1.17163320e-07) (8.80031797e-09 1.20253748e-08 1.35384459e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
218             	((9.52000722e-07 2.18601565e-01 9.69692363e-06) (1.15236905e-07 2.15627058e-03 3.96875282e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.20925684e-07 1.37948777e-07 -1.05822290e-07) (1.03900168e-08 1.10119334e-08 4.53741185e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
219             	((9.35852875e-07 2.18518636e-01 9.57024321e-06) (7.75411288e-08 2.15736782e-03 4.49229354e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.19494026e-07 1.36518897e-07 -1.04915744e-07) (1.15763695e-08 1.09385767e-08 -1.52123244e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
220             	((6.44076480e-07 2.18430663e-01 9.29705372e-06) (7.26192689e-08 2.15847000e-03 3.86345693e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.14735241e-07 1.30612816e-07 -8.99364880e-08) (9.98482675e-09 1.37328618e-08 5.90935546e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
221             	((6.74671826e-07 2.18340942e-01 8.96210784e-06) (-1.28581163e-08 2.15956383e-03 4.06837577e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.08420801e-07 1.24568960e-07 -8.62340047e-08) (9.95469792e-09 1.26244508e-08 8.39732442e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
222             	((6.82789369e-07 2.18254536e-01 8.79057191e-06) (-2.46294457e-08 2.16069243e-03 4.23791417e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.07638854e-07 1.24075337e-07 -8.77927413e-08) (9.97233055e-09 1.02592143e-08 8.06072586e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
223             	((4.19825501e-07 2.18172683e-01 8.70168709e-06) (-2.92303127e-08 2.16170956e-03 3.87474360e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.06256458e-07 1.22385915e-07 -7.70002003e-08) (9.30095363e-09 1.28987883e-08 1.46482400e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
224             	((2.83768944e-07 2.18091946e-01 8.35498215e-06) (-1.52877879e-08 2.16267954e-03 4.70807140e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.00558881e-07 1.17392699e-07 -6.94168487e-08) (1.18122769e-08 1.28106579e-08 1.38139318e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
225             	((4.24752447e-07 2.18007731e-01 8.09701440e-06) (-3.51806593e-08 2.16386500e-03 3.62205598e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.45738182e-08 1.13884944e-07 -7.57226806e-08) (9.52684108e-09 1.17301179e-08 7.94060037e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
226             	((3.83050356e-07 2.17921343e-01 7.92833520e-06) (3.12311519e-08 2.16521217e-03 3.21973908e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.18969410e-08 1.12195112e-07 -7.80505571e-08) (7.97518049e-09 1.15957665e-08 1.15284074e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
227             	((4.12800192e-07 2.17836233e-01 7.69818462e-06) (1.10469081e-07 2.16596985e-03 4.23471955e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.18713154e-08 1.08814696e-07 -8.34622688e-08) (1.10582727e-08 1.16147959e-08 1.06870115e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
228             	((5.61631852e-07 2.17747841e-01 7.53280582e-06) (8.22788443e-08 2.16669298e-03 3.30930840e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.87952776e-08 1.06403749e-07 -8.97451511e-08) (9.19937679e-09 1.26340287e-08 1.50825676e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
229             	((-1.48297138e-07 2.17695192e-01 7.53573305e-06) (6.04844780e-08 2.16822090e-03 2.92272092e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.58747012e-08 1.04691343e-07 -4.93876890e-08) (7.41960950e-09 1.34173632e-08 3.89296801e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
230             	((8.13158619e-08 2.17597196e-01 7.50854673e-06) (-2.99537906e-08 2.16952858e-03 3.93840546e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.02679846e-08 1.01468650e-07 -5.84347767e-08) (1.00609358e-08 1.18976901e-08 7.16872581e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
231             	((1.29510012e-07 2.17496920e-01 7.41956061e-06) (5.58098701e-08 2.17002659e-03 3.94119736e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((9.13923008e-08 1.01417110e-07 -6.61314033e-08) (1.05503765e-08 1.06227742e-08 5.56457188e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
232             	((3.13589032e-07 2.17401191e-01 7.07832230e-06) (4.88614507e-08 2.17120233e-03 4.13996186e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.66521108e-08 9.63440746e-08 -7.26959731e-08) (1.09650435e-08 1.31613366e-08 2.06475165e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
233             	((3.73152909e-07 2.17311865e-01 6.76696230e-06) (6.10224597e-08 2.17238658e-03 4.09360258e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((8.01127767e-08 9.40750504e-08 -8.04811073e-08) (1.01104339e-08 1.09034998e-08 6.94311305e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
234             	((6.11920812e-07 2.17225698e-01 6.45783577e-06) (-5.68023426e-08 2.17340563e-03 4.38986156e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.63762258e-08 8.82692163e-08 -8.77988373e-08) (1.15532486e-08 1.24203443e-08 7.37506320e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
235             	((2.80748162e-07 2.17140346e-01 6.22163476e-06) (3.62437514e-08 2.17416661e-03 3.27662460e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.15311101e-08 8.65616790e-08 -7.80955627e-08) (8.57440968e-09 9.31587319e-09 1.15132084e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
236             	((2.91911851e-07 2.17057683e-01 6.10936321e-06) (3.36813271e-08 2.17500731e-03 3.29257927e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.02428155e-08 8.35550958e-08 -7.85168978e-08) (8.64786531e-09 9.69496176e-09 6.05575162e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
237             	((3.27940355e-07 2.16980730e-01 5.97014141e-06) (9.62688852e-08 2.17649954e-03 4.03990540e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.64601656e-08 8.15321995e-08 -8.00462726e-08) (1.05824844e-08 8.93740105e-09 -2.29539736e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
238             	((-1.66238234e-08 2.16907457e-01 5.65749146e-06) (7.04103338e-08 2.17746747e-03 5.43629368e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.44663095e-08 7.86505100e-08 -6.40949315e-08) (1.45807941e-08 8.92443863e-09 1.31760854e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
239             	((-3.14259360e-07 2.16829591e-01 5.64195385e-06) (9.93115257e-08 2.17805106e-03 4.39259115e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.44422873e-08 7.74554588e-08 -5.23852927e-08) (1.11070104e-08 9.26384378e-09 1.10368985e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
240             	((-5.02757832e-07 2.16745429e-01 5.72108385e-06) (1.28919748e-09 2.17912830e-03 4.23761896e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.39375219e-08 7.45176462e-08 -3.56784331e-08) (1.05788221e-08 1.13680810e-08 5.35980108e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
241             	((-4.90252836e-07 2.16658520e-01 5.45400253e-06) (2.31010382e-08 2.18040345e-03 3.60389165e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.62629423e-08 7.54323951e-08 -3.50309810e-08) (8.74002248e-09 8.49153053e-09 2.16130986e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
242             	((-6.00602935e-07 2.16571469e-01 5.37894107e-06) (4.55653919e-08 2.18160134e-03 3.09716907e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.56888279e-08 7.48934345e-08 -3.28738913e-08) (8.26822014e-09 7.36771254e-09 6.17345995e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
243             	((-5.43164086e-07 2.16485156e-01 5.31543209e-06) (-6.45051565e-08 2.18272768e-03 2.70501551e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.37641633e-08 7.14854978e-08 -3.31811769e-08) (7.23533694e-09 1.03401371e-08 1.27497156e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
244             	((-5.27569705e-07 2.16395082e-01 4.95981390e-06) (-7.11445236e-08 2.18323310e-03 3.45221743e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((4.96599940e-08 6.88651054e-08 -3.18705412e-08) (9.31796358e-09 9.60784472e-09 1.11239889e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
245             	((-4.60363403e-07 2.16306023e-01 4.81847625e-06) (1.01096908e-07 2.18427458e-03 3.43285322e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.02960661e-08 6.77017527e-08 -3.95041408e-08) (8.78031038e-09 6.77015374e-09 2.51850409e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
