# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0             	N/A	N/A	N/A	N/A
0.0069        	4.094800e-02	2.556696e-03	1.639837e-03	1.232563e-03	1.015341e-03
0.007         	4.066384e-02	2.525584e-03	1.620254e-03	1.217732e-03	1.000306e-03
0.0071        	4.045117e-02	2.495828e-03	1.600891e-03	1.203390e-03	9.860246e-04
0.0072        	4.013581e-02	2.466184e-03	1.581902e-03	1.188804e-03	9.716290e-04
0.0073        	3.984728e-02	2.436845e-03	1.563263e-03	1.173591e-03	9.572504e-04
0.0074        	3.986462e-02	2.408742e-03	1.545279e-03	1.159073e-03	9.423752e-04
0.0075        	3.970453e-02	2.381056e-03	1.527450e-03	1.145567e-03	9.280893e-04
0.0076        	3.914837e-02	2.354382e-03	1.509958e-03	1.132191e-03	9.136368e-04
0.0077        	3.890188e-02	2.327875e-03	1.493050e-03	1.118638e-03	9.005986e-04
0.0078        	3.866172e-02	2.300990e-03	1.476894e-03	1.105159e-03	8.875109e-04
0.0079        	3.844748e-02	2.274725e-03	1.460868e-03	1.091686e-03	8.739418e-04
0.008         	3.814968e-02	2.249167e-03	1.445173e-03	1.078378e-03	8.600932e-04
0.0081        	3.799728e-02	2.224177e-03	1.429665e-03	1.064688e-03	8.463751e-04
0.0082        	3.767410e-02	2.200247e-03	1.414553e-03	1.052144e-03	8.327281e-04
0.0083        	3.758748e-02	2.176820e-03	1.399609e-03	1.039660e-03	8.196867e-04
0.0084        	3.740517e-02	2.153517e-03	1.385389e-03	1.026921e-03	8.071134e-04
0.0085        	3.709175e-02	2.131062e-03	1.371491e-03	1.014699e-03	7.945623e-04
0.0086        	3.691447e-02	2.109141e-03	1.358167e-03	1.002938e-03	7.819235e-04
0.0087        	3.656099e-02	2.087532e-03	1.345043e-03	9.906846e-04	7.696594e-04
0.0088        	3.625877e-02	2.066261e-03	1.331966e-03	9.790488e-04	7.571893e-04
0.0089        	3.600328e-02	2.045092e-03	1.319049e-03	9.672599e-04	7.445434e-04
0.009         	3.575334e-02	2.024140e-03	1.306654e-03	9.558094e-04	7.321181e-04
0.0091        	3.547801e-02	2.003984e-03	1.294409e-03	9.448228e-04	7.201167e-04
0.0092        	3.507251e-02	1.984658e-03	1.282567e-03	9.335310e-04	7.081109e-04
0.0093        	3.490321e-02	1.965661e-03	1.271213e-03	9.225297e-04	6.967336e-04
0.0094        	3.462240e-02	1.946841e-03	1.259967e-03	9.122060e-04	6.855853e-04
0.0095        	3.435963e-02	1.928282e-03	1.249076e-03	9.020651e-04	6.748483e-04
0.0096        	3.409116e-02	1.909860e-03	1.238494e-03	8.924614e-04	6.637211e-04
0.0097        	3.382176e-02	1.891705e-03	1.228208e-03	8.829220e-04	6.529010e-04
0.0098        	3.358079e-02	1.874222e-03	1.217915e-03	8.731542e-04	6.420830e-04
0.0099        	3.336280e-02	1.856951e-03	1.207794e-03	8.634978e-04	6.316388e-04
0.01          	3.317824e-02	1.839992e-03	1.197971e-03	8.543638e-04	6.223213e-04
0.0101        	3.295742e-02	1.823288e-03	1.188264e-03	8.452199e-04	6.126486e-04
0.0102        	3.267921e-02	1.806817e-03	1.178879e-03	8.366164e-04	6.031037e-04
0.0103        	3.243101e-02	1.790814e-03	1.169808e-03	8.281186e-04	5.939005e-04
0.0104        	3.247619e-02	1.775168e-03	1.161045e-03	8.197505e-04	5.851512e-04
0.0105        	3.232122e-02	1.759971e-03	1.152392e-03	8.114656e-04	5.762995e-04
0.0106        	3.184569e-02	1.744899e-03	1.143970e-03	8.033298e-04	5.674898e-04
0.0107        	3.166769e-02	1.730067e-03	1.135610e-03	7.954316e-04	5.587602e-04
0.0108        	3.147688e-02	1.715522e-03	1.127227e-03	7.876355e-04	5.504617e-04
0.0109        	3.126947e-02	1.701169e-03	1.119134e-03	7.799338e-04	5.425586e-04
0.011         	3.108705e-02	1.686944e-03	1.111417e-03	7.724052e-04	5.352986e-04
0.0111        	3.092804e-02	1.672939e-03	1.103760e-03	7.649544e-04	5.282840e-04
0.0112        	3.075108e-02	1.659332e-03	1.096227e-03	7.577192e-04	5.211517e-04
0.0113        	3.061144e-02	1.646059e-03	1.088924e-03	7.508411e-04	5.142214e-04
0.0114        	3.044894e-02	1.633220e-03	1.081736e-03	7.441836e-04	5.072547e-04
0.0115        	3.039927e-02	1.620614e-03	1.074689e-03	7.380642e-04	5.006021e-04
0.0116        	3.017309e-02	1.608411e-03	1.067725e-03	7.318278e-04	4.941256e-04
0.0117        	2.992486e-02	1.596471e-03	1.061039e-03	7.256680e-04	4.881053e-04
0.0118        	2.976109e-02	1.584574e-03	1.054356e-03	7.191556e-04	4.825628e-04
0.0119        	2.960178e-02	1.572845e-03	1.047726e-03	7.128894e-04	4.772567e-04
0.012         	2.947489e-02	1.561255e-03	1.041266e-03	7.073236e-04	4.720092e-04
0.0121        	2.935323e-02	1.550083e-03	1.034951e-03	7.020016e-04	4.671418e-04
0.0122        	2.921158e-02	1.539165e-03	1.028633e-03	6.967969e-04	4.621874e-04
0.0123        	2.908750e-02	1.528529e-03	1.022479e-03	6.915051e-04	4.573196e-04
0.0124        	2.899544e-02	1.518135e-03	1.016618e-03	6.860092e-04	4.524434e-04
0.0125        	2.887836e-02	1.507910e-03	1.010886e-03	6.805532e-04	4.479897e-04
0.0126        	2.872855e-02	1.497944e-03	1.005119e-03	6.753081e-04	4.439924e-04
0.0127        	2.883596e-02	1.488157e-03	9.994106e-04	6.703359e-04	4.402297e-04
0.0128        	2.871441e-02	1.478616e-03	9.938348e-04	6.654917e-04	4.367161e-04
0.0129        	2.834280e-02	1.469270e-03	9.882805e-04	6.606620e-04	4.333945e-04
0.013         	2.824971e-02	1.459899e-03	9.827287e-04	6.558594e-04	4.304375e-04
0.0131        	2.812211e-02	1.450875e-03	9.773740e-04	6.509920e-04	4.275435e-04
0.0132        	2.804102e-02	1.442243e-03	9.722065e-04	6.460563e-04	4.247381e-04
0.0133        	2.793875e-02	1.433843e-03	9.671426e-04	6.414298e-04	4.221422e-04
0.0134        	2.783894e-02	1.425544e-03	9.621455e-04	6.371280e-04	4.198483e-04
0.0135        	2.775623e-02	1.417490e-03	9.572564e-04	6.330446e-04	4.179615e-04
0.0136        	2.764565e-02	1.409605e-03	9.524169e-04	6.287025e-04	4.163012e-04
0.0137        	2.754733e-02	1.401802e-03	9.475464e-04	6.243409e-04	4.147790e-04
0.0138        	2.741223e-02	1.394243e-03	9.427049e-04	6.200147e-04	4.133617e-04
0.0139        	2.745493e-02	1.386644e-03	9.379668e-04	6.155164e-04	4.120695e-04
0.014         	2.734434e-02	1.379065e-03	9.332442e-04	6.113220e-04	4.108749e-04
0.0141        	2.712951e-02	1.371724e-03	9.287533e-04	6.074516e-04	4.099325e-04
0.0142        	2.700351e-02	1.364641e-03	9.241856e-04	6.036623e-04	4.089107e-04
0.0143        	2.692681e-02	1.357885e-03	9.197346e-04	5.999189e-04	4.079905e-04
0.0144        	2.684367e-02	1.351311e-03	9.153401e-04	5.961630e-04	4.071553e-04
0.0145        	2.678304e-02	1.345156e-03	9.109863e-04	5.922084e-04	4.063312e-04
0.0146        	2.669335e-02	1.338830e-03	9.067513e-04	5.883685e-04	4.057281e-04
0.0147        	2.660397e-02	1.332677e-03	9.025923e-04	5.845602e-04	4.050864e-04
0.0148        	2.651331e-02	1.326516e-03	8.985091e-04	5.809550e-04	4.044686e-04
0.0149        	2.645582e-02	1.320562e-03	8.943837e-04	5.774745e-04	4.039744e-04
0.015         	2.631218e-02	1.314638e-03	8.902830e-04	5.740300e-04	4.034569e-04
0.0151        	2.624851e-02	1.308739e-03	8.861107e-04	5.706771e-04	4.029589e-04
0.0152        	2.619496e-02	1.303190e-03	8.820667e-04	5.674699e-04	4.026486e-04
0.0153        	2.620688e-02	1.297635e-03	8.780546e-04	5.642010e-04	4.022828e-04
0.0154        	2.604925e-02	1.292426e-03	8.741990e-04	5.609322e-04	4.018693e-04
0.0155        	2.599806e-02	1.287324e-03	8.704418e-04	5.578194e-04	4.015304e-04
0.0156        	2.598709e-02	1.282330e-03	8.667032e-04	5.550702e-04	4.012760e-04
0.0157        	2.588561e-02	1.277559e-03	8.630776e-04	5.524687e-04	4.010616e-04
0.0158        	2.579229e-02	1.272832e-03	8.594213e-04	5.499607e-04	4.010290e-04
0.0159        	2.572239e-02	1.268147e-03	8.557041e-04	5.473592e-04	4.009561e-04
0.016         	2.566702e-02	1.263489e-03	8.520038e-04	5.448687e-04	4.009571e-04
0.0161        	2.560838e-02	1.258697e-03	8.483083e-04	5.423210e-04	4.008918e-04
0.0162        	2.557535e-02	1.254136e-03	8.446569e-04	5.397487e-04	4.007655e-04
0.0163        	2.544016e-02	1.249783e-03	8.412130e-04	5.373259e-04	4.007703e-04
0.0164        	2.541244e-02	1.245479e-03	8.377126e-04	5.349554e-04	4.006436e-04
0.0165        	2.534628e-02	1.241386e-03	8.343185e-04	5.327375e-04	4.005193e-04
0.0166        	2.528500e-02	1.237377e-03	8.309630e-04	5.305926e-04	4.004784e-04
0.0167        	2.524401e-02	1.233514e-03	8.276203e-04	5.285130e-04	4.004306e-04
0.0168        	2.520610e-02	1.229765e-03	8.242462e-04	5.265843e-04	4.004517e-04
0.0169        	2.516365e-02	1.226057e-03	8.209947e-04	5.247413e-04	4.006629e-04
0.017         	2.512037e-02	1.222302e-03	8.177038e-04	5.227964e-04	4.007889e-04
0.0171        	2.508486e-02	1.218527e-03	8.144923e-04	5.207791e-04	4.008733e-04
0.0172        	2.501503e-02	1.214884e-03	8.112842e-04	5.186656e-04	4.008893e-04
0.0173        	2.491862e-02	1.211309e-03	8.080530e-04	5.165205e-04	4.008265e-04
0.0174        	2.487579e-02	1.207822e-03	8.048885e-04	5.145455e-04	4.007703e-04
0.0175        	2.489977e-02	1.204524e-03	8.018985e-04	5.129521e-04	4.007996e-04
0.0176        	2.479985e-02	1.201366e-03	7.988386e-04	5.113211e-04	4.007023e-04
0.0177        	2.476690e-02	1.198152e-03	7.958393e-04	5.097324e-04	4.006201e-04
0.0178        	2.471859e-02	1.195086e-03	7.928187e-04	5.082150e-04	4.005919e-04
