# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       	h             
0             	N/A	N/A	N/A	N/A	N/A
0.00537833    	3.767573e-01	4.937503e-03	2.922804e-03	2.266373e-03	1.974079e-03	1.323057e-03
0.00549684    	3.793084e-01	4.851200e-03	2.941739e-03	2.230745e-03	1.928432e-03	1.303928e-03
0.00561534    	3.762725e-01	4.749355e-03	2.935825e-03	2.200297e-03	1.885637e-03	1.285272e-03
0.00573385    	3.704197e-01	4.668026e-03	2.922921e-03	2.170451e-03	1.847689e-03	1.267256e-03
0.00585235    	3.627702e-01	4.585304e-03	2.903371e-03	2.141655e-03	1.805384e-03	1.248227e-03
0.00597086    	3.541971e-01	4.494748e-03	2.879613e-03	2.117252e-03	1.769690e-03	1.229850e-03
0.00608936    	3.451783e-01	4.417187e-03	2.850611e-03	2.094126e-03	1.733239e-03	1.212232e-03
0.00620786    	3.361929e-01	4.341663e-03	2.812686e-03	2.069824e-03	1.691498e-03	1.196127e-03
0.00632637    	3.273063e-01	4.265123e-03	2.766056e-03	2.049372e-03	1.660216e-03	1.179187e-03
0.00644487    	3.188778e-01	4.200585e-03	2.710831e-03	2.030074e-03	1.627721e-03	1.162446e-03
0.00656338    	3.106651e-01	4.135499e-03	2.648486e-03	2.009734e-03	1.587488e-03	1.146082e-03
0.00668188    	3.028087e-01	4.069741e-03	2.580916e-03	1.990797e-03	1.555717e-03	1.130863e-03
0.00680039    	2.954973e-01	4.014517e-03	2.506811e-03	1.972806e-03	1.528521e-03	1.115292e-03
0.00691889    	2.887678e-01	3.959118e-03	2.429467e-03	1.957049e-03	1.498165e-03	1.100254e-03
0.00703739    	2.824720e-01	3.903455e-03	2.352270e-03	1.940262e-03	1.467831e-03	1.085547e-03
0.0071559     	2.767535e-01	3.853431e-03	2.275460e-03	1.925138e-03	1.440783e-03	1.071139e-03
0.0072744     	2.717309e-01	3.806007e-03	2.199761e-03	1.911866e-03	1.410409e-03	1.057940e-03
0.00739291    	2.674203e-01	3.755029e-03	2.128758e-03	1.896904e-03	1.389999e-03	1.044683e-03
0.00751141    	2.633729e-01	3.704305e-03	2.064025e-03	1.882339e-03	1.367286e-03	1.031977e-03
0.00762991    	2.599592e-01	3.661177e-03	2.007726e-03	1.870264e-03	1.346481e-03	1.019725e-03
0.00774842    	2.572291e-01	3.617947e-03	1.954617e-03	1.859456e-03	1.328990e-03	1.007975e-03
0.00786692    	2.549279e-01	3.571197e-03	1.905951e-03	1.847953e-03	1.304606e-03	9.966757e-04
0.00798543    	2.531412e-01	3.529626e-03	1.862944e-03	1.834510e-03	1.290778e-03	9.871282e-04
0.00810393    	2.515781e-01	3.493710e-03	1.825655e-03	1.824497e-03	1.282761e-03	9.781371e-04
0.00822244    	2.502428e-01	3.454374e-03	1.792292e-03	1.815766e-03	1.263897e-03	9.700511e-04
0.00834094    	2.491748e-01	3.410109e-03	1.763377e-03	1.804072e-03	1.256619e-03	9.618151e-04
0.00845944    	2.484117e-01	3.375030e-03	1.738710e-03	1.793605e-03	1.248806e-03	9.545701e-04
0.00857795    	2.477983e-01	3.340922e-03	1.717152e-03	1.783172e-03	1.245230e-03	9.479598e-04
0.00869645    	2.472424e-01	3.302850e-03	1.697592e-03	1.774338e-03	1.239426e-03	9.420187e-04
0.00881496    	2.467095e-01	3.261476e-03	1.680042e-03	1.762913e-03	1.231722e-03	9.359337e-04
0.00893346    	2.462401e-01	3.226840e-03	1.664047e-03	1.752781e-03	1.222201e-03	9.302205e-04
0.00905197    	2.458611e-01	3.193452e-03	1.649215e-03	1.742733e-03	1.218223e-03	9.245369e-04
0.00917047    	2.454366e-01	3.155364e-03	1.635373e-03	1.731016e-03	1.203260e-03	9.195179e-04
0.00928897    	2.449820e-01	3.116185e-03	1.622957e-03	1.720262e-03	1.200066e-03	9.141551e-04
0.00940748    	2.442507e-01	3.074627e-03	1.606362e-03	1.710567e-03	1.182381e-03	9.083127e-04
0.00952598    	2.437505e-01	3.056252e-03	1.596542e-03	1.699999e-03	1.172500e-03	9.036872e-04
0.00964449    	2.432064e-01	3.023815e-03	1.586500e-03	1.688891e-03	1.162179e-03	8.983213e-04
