# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       
0.05069       	2.085918e-04	3.736249e-04	1.513219e-04	1.307660e-04	2.065189e-04
0.0507        	2.093748e-04	3.734971e-04	1.508082e-04	1.329059e-04	2.069137e-04
0.05071       	2.080202e-04	3.747583e-04	1.517647e-04	1.306468e-04	2.064514e-04
0.05072       	2.093329e-04	3.747440e-04	1.512722e-04	1.315789e-04	2.066341e-04
0.05073       	2.087857e-04	3.754717e-04	1.516367e-04	1.316779e-04	2.066068e-04
0.05074       	2.093862e-04	3.766248e-04	1.518020e-04	1.313769e-04	2.062959e-04
0.05075       	2.095976e-04	3.772689e-04	1.547099e-04	1.311104e-04	2.054954e-04
0.05076       	2.094267e-04	3.792028e-04	1.560586e-04	1.307234e-04	2.048682e-04
0.05077       	2.086254e-04	3.810649e-04	1.546026e-04	1.305514e-04	2.042015e-04
0.05078       	2.092941e-04	3.823179e-04	1.558584e-04	1.301278e-04	2.035517e-04
0.05079       	2.082563e-04	3.843918e-04	1.564851e-04	1.289430e-04	2.028005e-04
0.0508        	2.095973e-04	3.844386e-04	1.519110e-04	1.297580e-04	2.024482e-04
0.05081       	2.091786e-04	3.867310e-04	1.556826e-04	1.295385e-04	2.018196e-04
0.05082       	2.101850e-04	3.872156e-04	1.523596e-04	1.293107e-04	2.012976e-04
0.05083       	2.091930e-04	3.888294e-04	1.520089e-04	1.293014e-04	2.007992e-04
0.05084       	2.088114e-04	3.891682e-04	1.531506e-04	1.279721e-04	2.002307e-04
0.05085       	2.085155e-04	3.901584e-04	1.521862e-04	1.290766e-04	2.000837e-04
0.05086       	2.094732e-04	3.910324e-04	1.525589e-04	1.289194e-04	1.997534e-04
0.05087       	2.077988e-04	3.924863e-04	1.531288e-04	1.278034e-04	1.992466e-04
0.05088       	2.091414e-04	3.926454e-04	1.528840e-04	1.300406e-04	1.993444e-04
0.05089       	2.074242e-04	3.952861e-04	1.539794e-04	1.278859e-04	1.985758e-04
0.0509        	2.078192e-04	3.949979e-04	1.537041e-04	1.290340e-04	1.984448e-04
0.05091       	2.077347e-04	3.968715e-04	1.533808e-04	1.291505e-04	1.981416e-04
0.05092       	2.076412e-04	3.971139e-04	1.545776e-04	1.280401e-04	1.977691e-04
0.05093       	2.078234e-04	3.984644e-04	1.536060e-04	1.305372e-04	1.979540e-04
0.05094       	2.077262e-04	4.000227e-04	1.553317e-04	1.283528e-04	1.973760e-04
0.05095       	2.069706e-04	4.012704e-04	1.543002e-04	1.285802e-04	1.971718e-04
0.05096       	2.090879e-04	4.015249e-04	1.540213e-04	1.310471e-04	1.976873e-04
0.05097       	2.078644e-04	4.044903e-04	1.550834e-04	1.291646e-04	1.975480e-04
0.05098       	2.080170e-04	4.041643e-04	1.548061e-04	1.305931e-04	1.981055e-04
0.05099       	2.081547e-04	4.066269e-04	1.552258e-04	1.312209e-04	1.985441e-04
0.051         	2.083317e-04	4.070745e-04	1.555404e-04	1.304899e-04	1.990495e-04
0.05101       	2.081509e-04	4.088390e-04	1.545817e-04	1.322313e-04	2.002619e-04
0.05102       	2.087912e-04	4.089003e-04	1.557543e-04	1.327839e-04	2.015237e-04
0.05103       	2.085084e-04	4.120610e-04	1.553517e-04	1.334878e-04	2.028735e-04
