# Residuals   
# Time        	p             	Ux            	Uy            	k             	epsilon       	T             
0             	N/A	N/A	N/A	N/A	N/A
0.00627302    	2.062934e-01	4.513818e-03	2.434558e-03	1.992404e-03	1.652958e-03	N/A
0.00639725    	2.007938e-01	4.438046e-03	2.412494e-03	1.968311e-03	1.618853e-03	N/A
0.00652149    	1.951233e-01	4.373620e-03	2.383433e-03	1.943411e-03	1.583036e-03	N/A
0.00664572    	1.896274e-01	4.309466e-03	2.347113e-03	1.917780e-03	1.545976e-03	N/A
0.00676995    	1.844711e-01	4.242315e-03	2.303900e-03	1.897838e-03	1.513163e-03	N/A
0.00689418    	1.795606e-01	4.187018e-03	2.253312e-03	1.877225e-03	1.484036e-03	N/A
0.00701842    	1.751750e-01	4.132934e-03	2.198625e-03	1.855812e-03	1.448734e-03	N/A
0.00714265    	1.713061e-01	4.073325e-03	2.142326e-03	1.836738e-03	1.418031e-03	N/A
0.00726688    	1.680261e-01	4.023500e-03	2.085782e-03	1.819079e-03	1.390115e-03	N/A
0.00739111    	1.653699e-01	3.974055e-03	2.030283e-03	1.799932e-03	1.361129e-03	N/A
0.00751535    	1.632061e-01	3.921640e-03	1.978454e-03	1.782672e-03	1.335955e-03	N/A
0.00763958    	1.613151e-01	3.870375e-03	1.930723e-03	1.767746e-03	1.315369e-03	N/A
0.00776381    	1.598556e-01	3.825321e-03	1.884237e-03	1.751971e-03	1.292799e-03	N/A
0.00788805    	1.586472e-01	3.779485e-03	1.841922e-03	1.734670e-03	1.268637e-03	N/A
0.00801228    	1.577312e-01	3.731460e-03	1.804031e-03	1.720731e-03	1.245445e-03	N/A
0.00813651    	1.570624e-01	3.692067e-03	1.770753e-03	1.707365e-03	1.228256e-03	N/A
0.00826074    	1.565899e-01	3.650885e-03	1.741884e-03	1.692021e-03	1.209668e-03	N/A
0.00838498    	1.563168e-01	3.608103e-03	1.717094e-03	1.677500e-03	1.189224e-03	N/A
0.00850921    	1.560157e-01	3.566458e-03	1.696333e-03	1.664444e-03	1.170543e-03	N/A
0.00863344    	1.558140e-01	3.530942e-03	1.678126e-03	1.651787e-03	1.155559e-03	N/A
0.00875767    	1.556512e-01	3.492756e-03	1.662125e-03	1.637249e-03	1.141255e-03	N/A
0.00888191    	1.555272e-01	3.452192e-03	1.647871e-03	1.623883e-03	1.125168e-03	N/A
0.00900614    	1.554039e-01	3.415968e-03	1.634307e-03	1.611890e-03	1.107467e-03	N/A
0.00913037    	1.553555e-01	3.380128e-03	1.621976e-03	1.599402e-03	1.095192e-03	N/A
0.0092546     	1.552247e-01	3.341855e-03	1.611993e-03	1.586908e-03	1.083011e-03	N/A
0.00937884    	1.549471e-01	3.302784e-03	1.599688e-03	1.574956e-03	1.067863e-03	N/A
0.00950307    	1.546743e-01	3.271367e-03	1.586924e-03	1.563473e-03	1.054067e-03	N/A
0.0096273     	1.544089e-01	3.239683e-03	1.574661e-03	1.552054e-03	1.040204e-03	N/A
0.00975153    	1.540746e-01	3.204373e-03	1.563113e-03	1.539900e-03	1.030276e-03	N/A
0.00987577    	1.537579e-01	3.168248e-03	1.552558e-03	1.529426e-03	1.021466e-03	N/A
0.01          	1.534146e-01	3.139915e-03	1.543103e-03	1.518489e-03	1.008109e-03	N/A
0.010125      	1.537576e-01	3.122930e-03	1.540756e-03	1.514768e-03	9.973294e-04	N/A
0.01025       	1.533528e-01	3.090322e-03	1.531217e-03	1.503383e-03	9.865545e-04	N/A
0.010375      	1.528579e-01	3.054731e-03	1.521827e-03	1.493018e-03	9.770555e-04	N/A
0.0105        	1.524082e-01	3.025725e-03	1.512499e-03	1.482313e-03	9.704833e-04	N/A
0.010625      	1.518909e-01	2.998901e-03	1.503521e-03	1.472635e-03	9.552173e-04	N/A
0.01075       	1.513930e-01	2.967518e-03	1.496098e-03	1.461251e-03	9.441870e-04	N/A
0.010875      	1.509052e-01	2.934405e-03	1.486894e-03	1.450515e-03	9.322417e-04	N/A
0.011         	1.503599e-01	2.904576e-03	1.476408e-03	1.440684e-03	9.268640e-04	N/A
0.011125      	1.498328e-01	2.880319e-03	1.465727e-03	1.430037e-03	9.146343e-04	N/A
0.01125       	1.493325e-01	2.854278e-03	1.455340e-03	1.420330e-03	9.040439e-04	N/A
0.011375      	1.487465e-01	2.824816e-03	1.445205e-03	1.410346e-03	8.924789e-04	N/A
0.0115        	1.481662e-01	2.794614e-03	1.435906e-03	1.400980e-03	8.816154e-04	N/A
0.011625      	1.475937e-01	2.770548e-03	1.427371e-03	1.390878e-03	8.866167e-04	N/A
0.01175       	1.469548e-01	2.746280e-03	1.418817e-03	1.381450e-03	8.669308e-04	N/A
0.011875      	1.463546e-01	2.720139e-03	1.410244e-03	1.371476e-03	8.617012e-04	N/A
0.012         	1.457573e-01	2.691321e-03	1.401594e-03	1.362036e-03	8.507344e-04	N/A
0.012125      	1.451323e-01	2.665317e-03	1.393185e-03	1.353508e-03	8.438346e-04	N/A
0.01225       	1.445735e-01	2.641562e-03	1.386900e-03	1.344457e-03	8.319071e-04	N/A
0.012375      	1.439813e-01	2.618760e-03	1.378593e-03	1.335374e-03	8.239053e-04	N/A
0.0125        	1.433865e-01	2.594120e-03	1.369416e-03	1.326400e-03	8.156658e-04	N/A
0.012625      	1.427986e-01	2.568027e-03	1.360138e-03	1.317294e-03	8.124335e-04	N/A
0.01275       	1.422058e-01	2.545798e-03	1.351257e-03	1.309210e-03	8.021090e-04	N/A
0.012875      	1.416047e-01	2.523916e-03	1.343110e-03	1.300858e-03	7.946671e-04	N/A
0.013         	1.409931e-01	2.501196e-03	1.335481e-03	1.292587e-03	7.856835e-04	N/A
0.013125      	1.403845e-01	2.477605e-03	1.328120e-03	1.284239e-03	7.789808e-04	N/A
0.01325       	1.397873e-01	2.453746e-03	1.320816e-03	1.276147e-03	7.706608e-04	N/A
0.013375      	1.391955e-01	2.433662e-03	1.313817e-03	1.268356e-03	7.661947e-04	N/A
0.0135        	1.386423e-01	2.412928e-03	1.306828e-03	1.262773e-03	7.647788e-04	N/A
0.013625      	1.380986e-01	2.389925e-03	1.301290e-03	1.255879e-03	7.584318e-04	N/A
0.01375       	1.375140e-01	2.366108e-03	1.294768e-03	1.248208e-03	7.530263e-04	N/A
0.013875      	1.369465e-01	2.343851e-03	1.287145e-03	1.240249e-03	7.481470e-04	N/A
0.014         	1.363701e-01	2.324330e-03	1.279684e-03	1.233518e-03	7.434412e-04	N/A
0.014125      	1.358038e-01	2.304870e-03	1.272151e-03	1.227514e-03	7.381364e-04	N/A
0.01425       	1.352447e-01	2.284131e-03	1.265453e-03	1.220139e-03	7.324929e-04	N/A
0.014375      	1.346593e-01	2.262647e-03	1.258965e-03	1.212115e-03	7.251612e-04	N/A
0.0145        	1.340523e-01	2.242366e-03	1.252840e-03	1.204279e-03	7.199520e-04	N/A
0.014625      	1.334813e-01	2.223976e-03	1.247504e-03	1.197800e-03	7.156274e-04	N/A
0.01475       	1.329347e-01	2.205718e-03	1.241562e-03	1.191502e-03	7.106677e-04	N/A
0.014875      	1.323813e-01	2.186072e-03	1.235680e-03	1.184680e-03	7.026792e-04	N/A
0.015         	1.318097e-01	2.164666e-03	1.230840e-03	1.178118e-03	6.989438e-04	N/A
0.015125      	1.312341e-01	2.145082e-03	1.224329e-03	1.170993e-03	6.911017e-04	N/A
0.01525       	1.306656e-01	2.127837e-03	1.217446e-03	1.164137e-03	6.866191e-04	N/A
0.015375      	1.301176e-01	2.111694e-03	1.211117e-03	1.157741e-03	6.825382e-04	N/A
0.0155        	1.295204e-01	2.094146e-03	1.204646e-03	1.151141e-03	6.784804e-04	N/A
0.015625      	1.289488e-01	2.075484e-03	1.198470e-03	1.144994e-03	6.701927e-04	N/A
0.01575       	1.284005e-01	2.056613e-03	1.192784e-03	1.138985e-03	6.685751e-04	N/A
0.015875      	1.278405e-01	2.039514e-03	1.187066e-03	1.133482e-03	6.608857e-04	N/A
0.016         	1.272928e-01	2.023802e-03	1.181492e-03	1.127514e-03	6.559761e-04	N/A
0.016125      	1.267696e-01	2.007284e-03	1.176137e-03	1.121125e-03	6.535835e-04	N/A
0.01625       	1.262445e-01	1.989622e-03	1.171736e-03	1.115395e-03	6.516318e-04	N/A
0.016375      	1.256747e-01	1.972183e-03	1.165871e-03	1.109103e-03	6.472101e-04	N/A
0.0165        	1.251122e-01	1.955892e-03	1.159700e-03	1.102633e-03	6.436326e-04	N/A
0.016625      	1.245763e-01	1.940423e-03	1.153722e-03	1.097600e-03	6.357742e-04	N/A
0.01675       	1.240370e-01	1.925342e-03	1.148213e-03	1.092610e-03	6.371337e-04	N/A
0.016875      	1.234662e-01	1.909466e-03	1.142659e-03	1.086807e-03	6.324390e-04	N/A
0.017         	1.229335e-01	1.894089e-03	1.137298e-03	1.081459e-03	6.247209e-04	N/A
0.017125      	1.224272e-01	1.878386e-03	1.132058e-03	1.076117e-03	6.251432e-04	N/A
0.01725       	1.218392e-01	1.861965e-03	1.127218e-03	1.070955e-03	6.197171e-04	N/A
0.017375      	1.212838e-01	1.846632e-03	1.122112e-03	1.065850e-03	6.173744e-04	N/A
0.0175        	1.207767e-01	1.832659e-03	1.117285e-03	1.060618e-03	6.111037e-04	N/A
0.017625      	1.202453e-01	1.818576e-03	1.111735e-03	1.055077e-03	6.103443e-04	N/A
