# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
0.001225        	((-3.10828197e-07 9.36209811e-02 -1.47098601e-06) (1.18345600e-07 1.85312896e-03 -6.55842875e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.87553367e-09 5.14473686e-10 4.54803584e-09) (-3.07338191e-10 2.25004600e-10 -2.27959364e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00145         	((3.75936175e-07 8.97362324e-02 -1.43932388e-06) (1.02022431e-07 1.76894241e-03 -3.87284623e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.50288102e-08 -4.54393090e-09 -2.42776212e-08) (5.36073319e-10 -9.10218914e-11 -2.75267848e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00170147      	((6.00619035e-07 8.69757543e-02 -1.52381926e-06) (7.54376219e-08 1.68604841e-03 -4.34920441e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.20859099e-08 -1.16394654e-08 8.15962070e-09) (-5.78363355e-10 2.33896256e-10 -8.03400970e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00197809      	((1.70943676e-06 8.49840778e-02 -1.24075292e-06) (-8.62058847e-09 1.60708426e-03 -7.90680544e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.37093914e-08 -8.57206195e-09 -2.96323374e-08) (6.08437561e-10 1.31109425e-10 -1.58493147e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0022547       	((1.13535280e-06 8.34798766e-02 -1.17215791e-06) (-4.04000502e-10 1.53902806e-03 1.15198931e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.86993276e-08 -2.23490149e-09 -3.89840830e-08) (1.88510234e-09 -8.06188261e-10 -3.14031849e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00253132      	((5.41445470e-07 8.21601441e-02 -7.48993045e-07) (-1.27474549e-07 1.47871836e-03 5.46742727e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.61718328e-09 -1.05055009e-09 -3.71467883e-08) (1.77244428e-09 7.41623983e-10 -1.30031268e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00280794      	((1.49726455e-06 8.09308964e-02 -6.57702913e-07) (1.65747426e-07 1.42433341e-03 -6.35750356e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((1.00849840e-09 -3.83845722e-09 -2.43832607e-08) (-1.72542274e-10 1.77012181e-09 6.54298184e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00308456      	((-7.14993387e-07 7.98329132e-02 -6.05606232e-07) (4.08644079e-07 1.37832548e-03 2.29872078e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.76132905e-09 -2.08208650e-09 5.86480741e-08) (2.61145870e-09 -5.01333041e-10 9.57547248e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00336117      	((-1.48008307e-06 7.88242717e-02 -9.54951588e-07) (1.95386044e-07 1.33851462e-03 1.18349850e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.95362306e-08 3.27337091e-09 1.00794223e-07) (3.49854238e-09 -4.83231295e-10 1.09189174e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00363779      	((-2.65968018e-06 7.78915293e-02 -7.23223934e-07) (-3.31099217e-08 1.29937955e-03 1.05222801e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.74745383e-08 -1.02694890e-08 1.24808952e-07) (2.36197444e-09 -1.69049446e-09 2.68972863e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
