# y+ ()       
# Time        	patch         	min           	max           	average       
0.0115        	region0_to_wallFilmRegion_wallFilmFaces	5.895877e+00	1.955517e+01	1.136992e+01
0.012         	splitter	1.994786e+01	3.246194e+01	2.257665e+01
0.012         	back	5.191935e+00	1.033781e+01	7.946247e+00
0.012         	region0_to_wallFilmRegion_wallFilmFaces	5.901298e+00	1.964901e+01	1.137031e+01
0.0125        	splitter	1.996538e+01	3.250146e+01	2.259572e+01
0.0125        	back	5.174935e+00	1.027009e+01	7.932046e+00
0.0125        	region0_to_wallFilmRegion_wallFilmFaces	5.909870e+00	1.974047e+01	1.137203e+01
0.013         	splitter	1.998654e+01	3.254044e+01	2.261788e+01
0.013         	back	5.159620e+00	1.019085e+01	7.917601e+00
0.013         	region0_to_wallFilmRegion_wallFilmFaces	5.921292e+00	1.982798e+01	1.137493e+01
0.0135        	splitter	2.001192e+01	3.257916e+01	2.264354e+01
0.0135        	back	5.146804e+00	1.010197e+01	7.903572e+00
0.0135        	region0_to_wallFilmRegion_wallFilmFaces	5.933935e+00	1.990780e+01	1.137878e+01
0.014         	splitter	2.004063e+01	3.261961e+01	2.267281e+01
0.014         	back	5.138864e+00	1.000557e+01	7.890745e+00
0.014         	region0_to_wallFilmRegion_wallFilmFaces	5.948335e+00	1.998541e+01	1.138339e+01
0.0145        	splitter	2.007036e+01	3.265839e+01	2.270227e+01
0.0145        	back	5.140899e+00	9.903143e+00	7.879864e+00
0.0145        	region0_to_wallFilmRegion_wallFilmFaces	5.965136e+00	2.007021e+01	1.138884e+01
0.015         	splitter	2.010046e+01	3.269777e+01	2.273212e+01
0.015         	back	5.152800e+00	9.795247e+00	7.871047e+00
0.015         	region0_to_wallFilmRegion_wallFilmFaces	5.980642e+00	2.014266e+01	1.139478e+01
0.0155        	splitter	2.012743e+01	3.273574e+01	2.276162e+01
0.0155        	back	5.172876e+00	9.687757e+00	7.864502e+00
0.0155        	region0_to_wallFilmRegion_wallFilmFaces	5.991942e+00	2.020042e+01	1.140080e+01
0.016         	splitter	2.014696e+01	3.277120e+01	2.278835e+01
0.016         	back	5.199324e+00	9.580683e+00	7.860276e+00
0.016         	region0_to_wallFilmRegion_wallFilmFaces	5.998984e+00	2.024077e+01	1.140658e+01
0.0165        	splitter	2.016618e+01	3.280666e+01	2.281388e+01
0.0165        	back	5.197337e+00	9.479884e+00	7.858484e+00
0.0165        	region0_to_wallFilmRegion_wallFilmFaces	6.002639e+00	2.026043e+01	1.141161e+01
0.017         	splitter	2.018514e+01	3.284355e+01	2.284003e+01
0.017         	back	5.193666e+00	9.505578e+00	7.859176e+00
0.017         	region0_to_wallFilmRegion_wallFilmFaces	6.004190e+00	2.025905e+01	1.141549e+01
0.0175        	splitter	2.020457e+01	3.288541e+01	2.286600e+01
0.0175        	back	5.193076e+00	9.635332e+00	7.862234e+00
0.0175        	region0_to_wallFilmRegion_wallFilmFaces	6.004122e+00	2.024425e+01	1.141824e+01
0.018         	splitter	2.022409e+01	3.293070e+01	2.289225e+01
0.018         	back	5.194725e+00	9.766949e+00	7.867581e+00
0.018         	region0_to_wallFilmRegion_wallFilmFaces	6.003319e+00	2.022339e+01	1.141963e+01
0.0185        	splitter	2.024372e+01	3.298213e+01	2.291856e+01
0.0185        	back	5.197625e+00	9.897623e+00	7.874957e+00
0.0185        	region0_to_wallFilmRegion_wallFilmFaces	6.002161e+00	2.031392e+01	1.141942e+01
0.019         	splitter	2.026501e+01	3.304268e+01	2.294612e+01
0.019         	back	5.200875e+00	1.002407e+01	7.884027e+00
0.019         	region0_to_wallFilmRegion_wallFilmFaces	6.000607e+00	2.052247e+01	1.141720e+01
0.0195        	splitter	2.028667e+01	3.311666e+01	2.297448e+01
0.0195        	back	5.203697e+00	1.014342e+01	7.894416e+00
0.0195        	region0_to_wallFilmRegion_wallFilmFaces	5.999225e+00	2.057374e+01	1.141291e+01
0.02          	splitter	2.031172e+01	3.320701e+01	2.300605e+01
0.02          	back	5.205257e+00	1.025415e+01	7.905829e+00
0.02          	region0_to_wallFilmRegion_wallFilmFaces	5.997717e+00	2.045720e+01	1.140647e+01
0.0205        	splitter	2.033899e+01	3.331689e+01	2.304045e+01
0.0205        	back	5.204914e+00	1.035827e+01	7.917969e+00
0.0205        	region0_to_wallFilmRegion_wallFilmFaces	5.996263e+00	2.017535e+01	1.139773e+01
0.021         	splitter	2.037149e+01	3.345735e+01	2.308175e+01
0.021         	back	5.202251e+00	1.045354e+01	7.930316e+00
0.021         	region0_to_wallFilmRegion_wallFilmFaces	5.995340e+00	1.997352e+01	1.138701e+01
0.0215        	splitter	2.041330e+01	3.364469e+01	2.313550e+01
0.0215        	back	5.197244e+00	1.053274e+01	7.942370e+00
0.0215        	region0_to_wallFilmRegion_wallFilmFaces	5.993972e+00	1.979434e+01	1.137443e+01
0.022         	splitter	2.046716e+01	3.389735e+01	2.320594e+01
0.022         	back	5.190246e+00	1.059218e+01	7.953572e+00
0.022         	region0_to_wallFilmRegion_wallFilmFaces	5.993104e+00	1.951746e+01	1.136085e+01
0.0225        	splitter	2.053744e+01	3.424894e+01	2.330109e+01
0.0225        	back	5.181334e+00	1.062858e+01	7.963233e+00
0.0225        	region0_to_wallFilmRegion_wallFilmFaces	5.992492e+00	1.944860e+01	1.134697e+01
0.023         	splitter	2.063661e+01	3.474333e+01	2.343632e+01
0.023         	back	5.170865e+00	1.064178e+01	7.971238e+00
0.023         	region0_to_wallFilmRegion_wallFilmFaces	5.992047e+00	1.952504e+01	1.133276e+01
0.0235        	splitter	2.077582e+01	3.545226e+01	2.362993e+01
0.0235        	back	5.160775e+00	1.063386e+01	7.977415e+00
0.0235        	region0_to_wallFilmRegion_wallFilmFaces	5.992040e+00	1.963423e+01	1.131870e+01
0.024         	splitter	2.098104e+01	3.664680e+01	2.391293e+01
0.024         	back	5.151403e+00	1.060554e+01	7.982274e+00
0.024         	region0_to_wallFilmRegion_wallFilmFaces	5.992102e+00	1.974475e+01	1.130518e+01
0.0245        	splitter	2.125421e+01	3.786399e+01	2.429658e+01
0.0245        	back	5.142620e+00	1.055804e+01	7.986194e+00
0.0245        	region0_to_wallFilmRegion_wallFilmFaces	5.992185e+00	1.985689e+01	1.129225e+01
0.025         	splitter	2.161558e+01	3.923032e+01	2.482057e+01
0.025         	back	5.135363e+00	1.049461e+01	7.989602e+00
0.025         	region0_to_wallFilmRegion_wallFilmFaces	5.992525e+00	1.996866e+01	1.127988e+01
0.0255        	splitter	2.210926e+01	4.125574e+01	2.562682e+01
0.0255        	back	5.130932e+00	1.041682e+01	7.992785e+00
0.0255        	region0_to_wallFilmRegion_wallFilmFaces	5.992879e+00	2.007700e+01	1.126804e+01
0.026         	splitter	2.263560e+01	4.428530e+01	2.668770e+01
0.026         	back	5.130570e+00	1.032827e+01	7.996925e+00
0.026         	region0_to_wallFilmRegion_wallFilmFaces	5.992718e+00	2.017690e+01	1.125587e+01
0.0265        	splitter	2.347597e+01	4.674871e+01	2.792819e+01
0.0265        	back	5.139304e+00	1.023079e+01	8.003392e+00
0.0265        	region0_to_wallFilmRegion_wallFilmFaces	5.992958e+00	2.026688e+01	1.124308e+01
0.027         	splitter	2.406056e+01	5.305022e+01	2.967158e+01
0.027         	back	5.161748e+00	1.013893e+01	8.013553e+00
0.027         	region0_to_wallFilmRegion_wallFilmFaces	5.992935e+00	2.036577e+01	1.122937e+01
0.0275        	splitter	2.490117e+01	5.612626e+01	3.155567e+01
0.0275        	back	5.196729e+00	1.005345e+01	8.027321e+00
0.0275        	region0_to_wallFilmRegion_wallFilmFaces	5.992837e+00	2.045504e+01	1.121477e+01
0.028         	splitter	2.572806e+01	6.025920e+01	3.396041e+01
0.028         	back	5.242406e+00	9.965036e+00	8.045767e+00
0.028         	region0_to_wallFilmRegion_wallFilmFaces	5.992684e+00	2.052710e+01	1.119928e+01
0.0285        	splitter	2.688484e+01	7.054257e+01	3.695733e+01
0.0285        	back	5.283414e+00	9.875492e+00	8.069344e+00
0.0285        	region0_to_wallFilmRegion_wallFilmFaces	5.992149e+00	2.058447e+01	1.118324e+01
0.029         	splitter	2.879671e+01	7.775292e+01	3.972527e+01
0.029         	back	5.297556e+00	9.785498e+00	8.098142e+00
0.029         	region0_to_wallFilmRegion_wallFilmFaces	5.991889e+00	2.062961e+01	1.116822e+01
0.0295        	splitter	3.086480e+01	8.571184e+01	4.284419e+01
0.0295        	back	5.317404e+00	9.872517e+00	8.131736e+00
0.0295        	region0_to_wallFilmRegion_wallFilmFaces	5.991892e+00	2.065968e+01	1.115489e+01
0.03          	splitter	3.248538e+01	8.936805e+01	4.534692e+01
0.03          	back	5.342846e+00	1.007846e+01	8.171073e+00
0.03          	region0_to_wallFilmRegion_wallFilmFaces	5.991495e+00	2.066058e+01	1.114398e+01
0.0305        	splitter	3.471861e+01	9.585125e+01	4.832684e+01
0.0305        	back	5.372874e+00	1.029685e+01	8.217102e+00
0.0305        	region0_to_wallFilmRegion_wallFilmFaces	5.991000e+00	2.065737e+01	1.113811e+01
0.031         	splitter	3.757419e+01	9.544171e+01	5.080157e+01
0.031         	back	5.406641e+00	1.052826e+01	8.269822e+00
