# y+ ()       
# Time        	patch         	min           	max           	average       
0.0115        	region0_to_wallFilmRegion_wallFilmFaces	5.901469e+00	1.955774e+01	1.136980e+01
0.012         	splitter	1.996206e+01	3.248803e+01	2.259324e+01
0.012         	back	5.192360e+00	1.033694e+01	7.946587e+00
0.012         	region0_to_wallFilmRegion_wallFilmFaces	5.911488e+00	1.965143e+01	1.137030e+01
0.0125        	splitter	1.997946e+01	3.252636e+01	2.261189e+01
0.0125        	back	5.175361e+00	1.026920e+01	7.932395e+00
0.0125        	region0_to_wallFilmRegion_wallFilmFaces	5.924338e+00	1.974232e+01	1.137204e+01
0.013         	splitter	1.999890e+01	3.256223e+01	2.263179e+01
0.013         	back	5.160001e+00	1.018986e+01	7.917906e+00
0.013         	region0_to_wallFilmRegion_wallFilmFaces	5.939177e+00	1.982911e+01	1.137483e+01
0.0135        	splitter	2.002323e+01	3.259818e+01	2.265598e+01
0.0135        	back	5.147175e+00	1.010098e+01	7.903866e+00
0.0135        	region0_to_wallFilmRegion_wallFilmFaces	5.955244e+00	1.990696e+01	1.137837e+01
0.014         	splitter	2.005129e+01	3.263676e+01	2.268451e+01
0.014         	back	5.139263e+00	1.000472e+01	7.891098e+00
0.014         	region0_to_wallFilmRegion_wallFilmFaces	5.971625e+00	1.998303e+01	1.138250e+01
0.0145        	splitter	2.007922e+01	3.267186e+01	2.271159e+01
0.0145        	back	5.141297e+00	9.902355e+00	7.880242e+00
0.0145        	region0_to_wallFilmRegion_wallFilmFaces	5.984540e+00	2.006719e+01	1.138751e+01
0.015         	splitter	2.010735e+01	3.270787e+01	2.273917e+01
0.015         	back	5.153195e+00	9.794484e+00	7.871432e+00
0.015         	region0_to_wallFilmRegion_wallFilmFaces	5.993092e+00	2.013817e+01	1.139289e+01
0.0155        	splitter	2.013427e+01	3.274098e+01	2.276584e+01
0.0155        	back	5.173262e+00	9.688131e+00	7.864891e+00
0.0155        	region0_to_wallFilmRegion_wallFilmFaces	5.998353e+00	2.019451e+01	1.139816e+01
0.016         	splitter	2.015041e+01	3.277016e+01	2.278842e+01
0.016         	back	5.199655e+00	9.580942e+00	7.860624e+00
0.016         	region0_to_wallFilmRegion_wallFilmFaces	6.001050e+00	2.023325e+01	1.140308e+01
0.0165        	splitter	2.016644e+01	3.279893e+01	2.280987e+01
0.0165        	back	5.197526e+00	9.479204e+00	7.858789e+00
0.0165        	region0_to_wallFilmRegion_wallFilmFaces	6.001895e+00	2.025040e+01	1.140705e+01
0.017         	splitter	2.018230e+01	3.282931e+01	2.283252e+01
0.017         	back	5.193863e+00	9.505693e+00	7.859487e+00
0.017         	region0_to_wallFilmRegion_wallFilmFaces	6.001917e+00	2.024680e+01	1.140974e+01
0.0175        	splitter	2.019908e+01	3.286583e+01	2.285527e+01
0.0175        	back	5.193262e+00	9.635713e+00	7.862569e+00
0.0175        	region0_to_wallFilmRegion_wallFilmFaces	6.000978e+00	2.022959e+01	1.141137e+01
0.018         	splitter	2.021567e+01	3.290489e+01	2.287822e+01
0.018         	back	5.194924e+00	9.767607e+00	7.867960e+00
0.018         	region0_to_wallFilmRegion_wallFilmFaces	5.999923e+00	2.020801e+01	1.141180e+01
0.0185        	splitter	2.023230e+01	3.294970e+01	2.290117e+01
0.0185        	back	5.197839e+00	9.898419e+00	7.875348e+00
0.0185        	region0_to_wallFilmRegion_wallFilmFaces	5.998975e+00	2.029880e+01	1.141077e+01
0.019         	splitter	2.025114e+01	3.300380e+01	2.292577e+01
0.019         	back	5.201107e+00	1.002505e+01	7.884434e+00
