# y+ ()       
# Time        	patch         	min           	max           	average       
0.92          	splitter	3.348699e+01	5.748052e+01	3.764377e+01
0.92          	back	1.038222e+01	1.423415e+01	1.181757e+01
0.92          	sides	9.704538e+00	2.842995e+01	2.218482e+01
