# y+ ()       
# Time        	patch         	min           	max           	average       
0.28          	sides	9.704626e+00	2.843591e+01	2.247853e+01
0.29          	splitter	3.347965e+01	5.742147e+01	3.759917e+01
0.29          	back	6.211059e+00	1.165647e+01	9.525557e+00
0.29          	sides	9.704619e+00	2.844847e+01	2.247872e+01
0.3           	splitter	3.347916e+01	5.742201e+01	3.759914e+01
0.3           	back	6.195641e+00	1.164318e+01	9.510376e+00
0.3           	sides	9.704629e+00	2.845392e+01	2.247899e+01
0.31          	splitter	3.348043e+01	5.742191e+01	3.759916e+01
0.31          	back	6.183102e+00	1.157513e+01	9.499287e+00
0.31          	sides	9.704620e+00	2.846640e+01	2.247905e+01
0.32          	splitter	3.347819e+01	5.742176e+01	3.759916e+01
0.32          	back	6.169796e+00	1.154660e+01	9.476895e+00
0.32          	sides	9.704623e+00	2.845423e+01	2.247883e+01
0.33          	splitter	3.348000e+01	5.742119e+01	3.759923e+01
0.33          	back	6.160509e+00	1.165034e+01	9.492367e+00
0.33          	sides	9.704628e+00	2.844479e+01	2.247852e+01
0.34          	splitter	3.347878e+01	5.742229e+01	3.759936e+01
0.34          	back	6.152103e+00	1.169967e+01	9.519793e+00
0.34          	sides	9.704615e+00	2.847639e+01	2.247801e+01
0.35          	splitter	3.347990e+01	5.742389e+01	3.759956e+01
0.35          	back	6.147250e+00	1.156427e+01	9.493901e+00
0.35          	sides	9.704638e+00	2.850016e+01	2.247706e+01
0.36          	splitter	3.348029e+01	5.742488e+01	3.759979e+01
0.36          	back	6.146748e+00	1.158921e+01	9.435351e+00
0.36          	sides	9.704611e+00	2.852041e+01	2.247549e+01
0.37          	splitter	3.347689e+01	5.742563e+01	3.760016e+01
0.37          	back	6.145297e+00	1.169706e+01	9.513106e+00
0.37          	sides	9.704636e+00	2.851140e+01	2.247293e+01
0.38          	splitter	3.347751e+01	5.742495e+01	3.760068e+01
0.38          	back	6.148417e+00	1.159982e+01	9.489877e+00
0.38          	sides	9.704627e+00	2.849563e+01	2.246902e+01
0.39          	splitter	3.347539e+01	5.742353e+01	3.760145e+01
0.39          	back	6.154903e+00	1.150494e+01	9.456550e+00
0.39          	sides	9.704609e+00	2.849369e+01	2.246277e+01
0.4           	splitter	3.347846e+01	5.742597e+01	3.760268e+01
0.4           	back	6.169642e+00	1.163196e+01	9.532440e+00
0.4           	sides	9.704658e+00	2.856145e+01	2.245386e+01
0.41          	splitter	3.347982e+01	5.743106e+01	3.760434e+01
0.41          	back	6.187466e+00	1.169545e+01	9.525606e+00
0.41          	sides	9.704577e+00	2.859424e+01	2.244147e+01
0.42          	splitter	3.348370e+01	5.743687e+01	3.760661e+01
0.42          	back	6.211687e+00	1.162938e+01	9.558666e+00
0.42          	sides	9.704680e+00	2.856337e+01	2.242504e+01
0.43          	splitter	3.348207e+01	5.744135e+01	3.760948e+01
0.43          	back	6.252869e+00	1.164135e+01	9.595775e+00
0.43          	sides	9.704575e+00	2.851225e+01	2.240458e+01
0.44          	splitter	3.347670e+01	5.744415e+01	3.761296e+01
0.44          	back	6.317910e+00	1.168957e+01	9.650280e+00
0.44          	sides	9.704655e+00	2.842141e+01	2.238011e+01
0.45          	splitter	3.347625e+01	5.744334e+01	3.761686e+01
0.45          	back	6.428149e+00	1.166225e+01	9.754150e+00
0.45          	sides	9.704629e+00	2.846725e+01	2.235259e+01
0.46          	splitter	3.347502e+01	5.743947e+01	3.762085e+01
0.46          	back	6.592712e+00	1.171419e+01	9.870491e+00
0.46          	sides	9.704578e+00	2.850363e+01	2.232325e+01
0.47          	splitter	3.348185e+01	5.744311e+01	3.762499e+01
0.47          	back	6.828433e+00	1.177925e+01	1.002181e+01
0.47          	sides	9.704713e+00	2.846551e+01	2.229450e+01
0.48          	splitter	3.349002e+01	5.745580e+01	3.762869e+01
0.48          	back	7.110056e+00	1.172650e+01	1.023072e+01
0.48          	sides	9.704508e+00	2.840425e+01	2.226907e+01
0.49          	splitter	3.349632e+01	5.746587e+01	3.763172e+01
0.49          	back	7.459836e+00	1.196138e+01	1.046506e+01
0.49          	sides	9.704740e+00	2.832200e+01	2.224912e+01
0.5           	splitter	3.348635e+01	5.746875e+01	3.763364e+01
0.5           	back	7.867583e+00	1.216496e+01	1.064960e+01
0.5           	sides	9.704545e+00	2.832300e+01	2.223490e+01
0.51          	splitter	3.347579e+01	5.746371e+01	3.763490e+01
0.51          	back	8.291278e+00	1.241607e+01	1.084133e+01
0.51          	sides	9.704641e+00	2.843994e+01	2.222463e+01
0.52          	splitter	3.347644e+01	5.745138e+01	3.763634e+01
0.52          	back	8.697725e+00	1.258701e+01	1.105231e+01
0.52          	sides	9.704689e+00	2.848167e+01	2.221585e+01
0.53          	splitter	3.348288e+01	5.745462e+01	3.763819e+01
0.53          	back	9.055314e+00	1.273249e+01	1.115208e+01
0.53          	sides	9.704498e+00	2.845787e+01	2.220742e+01
0.54          	splitter	3.350037e+01	5.747064e+01	3.764009e+01
0.54          	back	9.313471e+00	1.312215e+01	1.128239e+01
0.54          	sides	9.704774e+00	2.836313e+01	2.220071e+01
0.55          	splitter	3.349602e+01	5.747777e+01	3.764077e+01
0.55          	back	9.554019e+00	1.344649e+01	1.149645e+01
0.55          	sides	9.704499e+00	2.829423e+01	2.219753e+01
0.56          	splitter	3.347925e+01	5.747431e+01	3.764057e+01
0.56          	back	9.711415e+00	1.362963e+01	1.151871e+01
0.56          	sides	9.704681e+00	2.845359e+01	2.219713e+01
0.57          	splitter	3.347483e+01	5.746107e+01	3.764053e+01
0.57          	back	9.867622e+00	1.363754e+01	1.152800e+01
0.57          	sides	9.704662e+00	2.852436e+01	2.219690e+01
0.58          	splitter	3.347849e+01	5.745069e+01	3.764136e+01
0.58          	back	1.000046e+01	1.344753e+01	1.157622e+01
0.58          	sides	9.704507e+00	2.851591e+01	2.219414e+01
0.59          	splitter	3.349564e+01	5.746956e+01	3.764289e+01
0.59          	back	1.004692e+01	1.359719e+01	1.162444e+01
0.59          	sides	9.704784e+00	2.841587e+01	2.218976e+01
0.6           	splitter	3.350257e+01	5.747989e+01	3.764336e+01
0.6           	back	1.008275e+01	1.388455e+01	1.167935e+01
0.6           	sides	9.704478e+00	2.831952e+01	2.218741e+01
0.61          	splitter	3.348279e+01	5.747876e+01	3.764275e+01
0.61          	back	1.016506e+01	1.404159e+01	1.169988e+01
0.61          	sides	9.704707e+00	2.844581e+01	2.218854e+01
0.62          	splitter	3.347499e+01	5.746640e+01	3.764204e+01
0.62          	back	1.024098e+01	1.401885e+01	1.172473e+01
0.62          	sides	9.704640e+00	2.853505e+01	2.219074e+01
0.63          	splitter	3.347594e+01	5.744902e+01	3.764227e+01
0.63          	back	1.031721e+01	1.380861e+01	1.178320e+01
0.63          	sides	9.704521e+00	2.854580e+01	2.219050e+01
0.64          	splitter	3.349173e+01	5.746682e+01	3.764362e+01
0.64          	back	1.029952e+01	1.372135e+01	1.173091e+01
0.64          	sides	9.704783e+00	2.845139e+01	2.218717e+01
0.65          	splitter	3.350737e+01	5.747953e+01	3.764418e+01
0.65          	back	1.027856e+01	1.400049e+01	1.169853e+01
0.65          	sides	9.704467e+00	2.834378e+01	2.218459e+01
0.66          	splitter	3.348616e+01	5.748081e+01	3.764359e+01
0.66          	back	1.031382e+01	1.416676e+01	1.173477e+01
0.66          	sides	9.704725e+00	2.842079e+01	2.218559e+01
0.67          	splitter	3.347590e+01	5.747000e+01	3.764260e+01
0.67          	back	1.036823e+01	1.415858e+01	1.182093e+01
0.67          	sides	9.704620e+00	2.852489e+01	2.218851e+01
0.68          	splitter	3.347428e+01	5.745278e+01	3.764246e+01
0.68          	back	1.041742e+01	1.394920e+01	1.178163e+01
0.68          	sides	9.704537e+00	2.855561e+01	2.218956e+01
0.69          	splitter	3.348833e+01	5.746349e+01	3.764368e+01
0.69          	back	1.038702e+01	1.372197e+01	1.180004e+01
0.69          	sides	9.704778e+00	2.847436e+01	2.218695e+01
0.7           	splitter	3.350581e+01	5.747814e+01	3.764439e+01
0.7           	back	1.034832e+01	1.400284e+01	1.178534e+01
0.7           	sides	9.704461e+00	2.836553e+01	2.218402e+01
0.71          	splitter	3.348958e+01	5.748183e+01	3.764399e+01
0.71          	back	1.035928e+01	1.418954e+01	1.181475e+01
0.71          	sides	9.704739e+00	2.840045e+01	2.218442e+01
0.72          	splitter	3.347733e+01	5.747289e+01	3.764289e+01
0.72          	back	1.040059e+01	1.421220e+01	1.178238e+01
0.72          	sides	9.704601e+00	2.851739e+01	2.218743e+01
0.73          	splitter	3.347320e+01	5.745641e+01	3.764247e+01
0.73          	back	1.044148e+01	1.402647e+01	1.180211e+01
0.73          	sides	9.704553e+00	2.856401e+01	2.218927e+01
0.74          	splitter	3.348527e+01	5.745987e+01	3.764353e+01
0.74          	back	1.042418e+01	1.373437e+01	1.180890e+01
0.74          	sides	9.704770e+00	2.849804e+01	2.218734e+01
0.75          	splitter	3.350199e+01	5.747617e+01	3.764439e+01
0.75          	back	1.036905e+01	1.396922e+01	1.182989e+01
0.75          	sides	9.704457e+00	2.838604e+01	2.218414e+01
