# y+ ()       
# Time        	patch         	min           	max           	average       
0.28          	sides	5.350568e-01	2.936335e+00	1.389386e+00
0.29          	splitter	4.435799e+00	9.648292e+00	5.318393e+00
0.29          	back	2.873513e-01	1.001469e+00	5.535573e-01
0.29          	sides	5.350126e-01	2.935020e+00	1.389394e+00
0.3           	splitter	4.435850e+00	9.648435e+00	5.318468e+00
0.3           	back	2.902735e-01	1.003310e+00	5.581618e-01
0.3           	sides	5.350357e-01	2.934574e+00	1.389382e+00
0.31          	splitter	4.435932e+00	9.648541e+00	5.318539e+00
0.31          	back	2.932201e-01	1.005185e+00	5.629586e-01
0.31          	sides	5.350447e-01	2.935416e+00	1.389454e+00
0.32          	splitter	4.435993e+00	9.648731e+00	5.318650e+00
0.32          	back	2.968443e-01	1.007017e+00	5.681837e-01
0.32          	sides	5.350275e-01	2.933659e+00	1.389472e+00
0.33          	splitter	4.436077e+00	9.648748e+00	5.318682e+00
0.33          	back	3.000355e-01	1.008777e+00	5.728797e-01
0.33          	sides	5.350473e-01	2.932586e+00	1.389495e+00
0.34          	splitter	4.436027e+00	9.648787e+00	5.318702e+00
0.34          	back	3.028896e-01	1.010322e+00	5.770734e-01
0.34          	sides	5.349930e-01	2.931991e+00	1.389486e+00
0.35          	splitter	4.436110e+00	9.648791e+00	5.318707e+00
0.35          	back	3.053004e-01	1.011827e+00	5.808185e-01
0.35          	sides	5.350605e-01	2.933205e+00	1.389496e+00
0.36          	splitter	4.436023e+00	9.648825e+00	5.318714e+00
0.36          	back	3.074948e-01	1.013111e+00	5.842200e-01
0.36          	sides	5.349883e-01	2.935322e+00	1.389483e+00
0.37          	splitter	4.436143e+00	9.648897e+00	5.318746e+00
0.37          	back	3.095155e-01	1.014446e+00	5.874775e-01
0.37          	sides	5.350885e-01	2.936653e+00	1.389484e+00
0.38          	splitter	4.436035e+00	9.648928e+00	5.318749e+00
0.38          	back	3.114290e-01	1.015595e+00	5.904035e-01
0.38          	sides	5.349985e-01	2.938781e+00	1.389461e+00
0.39          	splitter	4.436167e+00	9.649033e+00	5.318791e+00
0.39          	back	3.130635e-01	1.016716e+00	5.930297e-01
0.39          	sides	5.351153e-01	2.940075e+00	1.389447e+00
0.4           	splitter	4.436047e+00	9.649018e+00	5.318774e+00
0.4           	back	3.145531e-01	1.017701e+00	5.954021e-01
0.4           	sides	5.350160e-01	2.941802e+00	1.389430e+00
0.41          	splitter	4.436171e+00	9.649120e+00	5.318812e+00
0.41          	back	3.159614e-01	1.018733e+00	5.976688e-01
0.41          	sides	5.351196e-01	2.942627e+00	1.389412e+00
0.42          	splitter	4.436040e+00	9.649010e+00	5.318760e+00
0.42          	back	3.172505e-01	1.019450e+00	5.996583e-01
0.42          	sides	5.350275e-01	2.943927e+00	1.389419e+00
0.43          	splitter	4.436143e+00	9.649332e+00	5.318850e+00
0.43          	back	3.183809e-01	1.020226e+00	6.013865e-01
0.43          	sides	5.351412e-01	2.943419e+00	1.389324e+00
0.44          	splitter	4.436144e+00	9.649248e+00	5.318876e+00
0.44          	back	3.191665e-01	1.020983e+00	6.028486e-01
0.44          	sides	5.350578e-01	2.942954e+00	1.389350e+00
0.45          	splitter	4.436188e+00	9.649214e+00	5.318880e+00
0.45          	back	3.199819e-01	1.021594e+00	6.042164e-01
0.45          	sides	5.350638e-01	2.940870e+00	1.389382e+00
0.46          	splitter	4.436125e+00	9.648958e+00	5.318770e+00
