# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
0.00122689      	((-3.95927067e-06 9.39272655e-02 -5.51773122e-06) (-1.69747029e-07 2.68808752e-03 -4.20329578e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.02539718e-07 -3.52231539e-08 1.61751624e-07) (-1.16501535e-08 -1.66020147e-10 1.00537642e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00145184      	((-3.52658561e-06 9.06269898e-02 -5.10476482e-06) (-8.89903038e-08 2.50339632e-03 -4.26958564e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.00153952e-07 -3.72945540e-08 1.30580958e-07) (-1.24271657e-08 6.76437707e-10 1.72287112e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00170326      	((-2.77239959e-06 8.82756325e-02 -5.01566694e-06) (-2.62424496e-08 2.34788477e-03 -4.17144750e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.31481721e-08 -2.26753069e-08 9.62705782e-08) (-1.28484424e-08 9.58273234e-10 -1.26728962e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00197089      	((-2.40939702e-06 8.64637202e-02 -4.75159139e-06) (1.52954601e-08 2.22009529e-03 -3.96650668e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.67816445e-08 -1.77942356e-08 7.98097631e-08) (-1.26186517e-08 1.27304047e-09 -8.44423625e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00224776      	((-1.83442620e-06 8.48344892e-02 -4.22634862e-06) (4.73342925e-08 2.11398453e-03 -3.62922343e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-7.68549160e-08 -7.26722604e-09 5.87228748e-08) (-1.20969165e-08 1.65878120e-09 -1.04950888e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00252463      	((-1.67456983e-06 8.32943944e-02 -4.10838254e-06) (6.32845948e-08 2.02552324e-03 -3.05479229e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-6.23949246e-08 -6.61381350e-09 4.64816833e-08) (-1.15038150e-08 1.86034838e-09 -1.87563810e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00280149      	((-9.77592190e-07 8.18182258e-02 -2.97480200e-06) (7.91899544e-08 1.94845054e-03 -2.75439618e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.96655867e-08 4.72521799e-09 2.96553668e-08) (-1.10127750e-08 1.60523165e-09 -1.51468498e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00307836      	((-8.27547407e-07 8.04141524e-02 -2.48311574e-06) (1.00095537e-07 1.88150623e-03 -2.93114077e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-5.31398556e-08 1.01562067e-08 2.53455989e-08) (-9.47333438e-09 1.26895257e-09 -1.05226031e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00335522      	((-5.56128573e-07 7.90755617e-02 -1.93153323e-06) (1.09540504e-07 1.82211800e-03 -1.96657789e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.59679985e-08 1.19938491e-08 1.97635169e-08) (-8.12022325e-09 1.49076549e-09 -1.02084240e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00363209      	((-3.45393637e-07 7.78299405e-02 -1.53783667e-06) (1.17161373e-07 1.76944675e-03 -1.72609293e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-4.02466211e-08 1.80109324e-08 1.66854673e-08) (-7.48703243e-09 1.61907509e-09 -1.07558175e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00390895      	((-4.19301330e-07 7.66783572e-02 -1.01991526e-06) (1.20169816e-07 1.72200643e-03 -1.54589785e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.27213767e-08 2.12155861e-08 2.37013528e-08) (-7.10764276e-09 2.14498241e-09 -1.52945748e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00418582      	((-3.00113919e-07 7.56285834e-02 -6.84727553e-07) (1.23380105e-07 1.67809272e-03 -1.34586249e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.71277438e-08 2.15128961e-08 2.40385541e-08) (-6.65563956e-09 2.54092608e-09 -1.33788489e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00446269      	((-2.21620637e-07 7.46738514e-02 -2.72841262e-07) (1.13586866e-07 1.63814567e-03 -1.63202234e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.33929482e-08 2.55231004e-08 2.58037562e-08) (-5.65984330e-09 2.08225655e-09 -1.40656089e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00473955      	((-2.26978219e-07 7.38092813e-02 -1.31696254e-08) (1.05643209e-07 1.60141218e-03 -1.01044429e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.15684903e-08 2.74436452e-08 3.19596650e-08) (-4.60486419e-09 1.97597494e-09 -1.86225641e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00501642      	((-2.12102918e-07 7.30296222e-02 2.70632441e-07) (1.03055284e-07 1.56685648e-03 -7.72305935e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.74611643e-08 2.72097563e-08 3.60383172e-08) (-4.34928550e-09 2.25069984e-09 -1.75199546e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00529328      	((-3.27597423e-07 7.23228594e-02 3.81722600e-07) (1.03545412e-07 1.53493380e-03 -4.76334325e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.69408099e-08 3.05181305e-08 4.39556411e-08) (-3.99053365e-09 1.83518697e-09 -2.39386127e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00557015      	((-1.97644667e-07 7.16860760e-02 5.69379637e-07) (1.01945073e-07 1.50565049e-03 -3.68900430e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.39613887e-08 2.85930344e-08 4.29053385e-08) (-3.92810987e-09 1.74592234e-09 -2.27105337e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00584701      	((-1.76718883e-07 7.11117059e-02 6.95696954e-07) (9.94462892e-08 1.47880991e-03 -2.54506510e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.26122255e-08 2.61623214e-08 4.48446670e-08) (-3.80144358e-09 1.82885240e-09 -2.22010405e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00612388      	((-1.62180029e-07 7.05913770e-02 7.86050151e-07) (9.62176278e-08 1.45430221e-03 -1.44101432e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.19873127e-08 2.64055510e-08 4.67470443e-08) (-3.63348821e-09 1.40089530e-09 -2.14059673e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00640075      	((-1.14907335e-07 7.01216379e-02 8.64233556e-07) (9.22650913e-08 1.43190850e-03 -3.71952974e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.14427252e-08 1.69141370e-08 4.62951133e-08) (-3.43876833e-09 2.10948313e-09 -2.03142727e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00667761      	((-8.42594829e-08 6.96882923e-02 9.18137360e-07) (8.76376497e-08 1.41153085e-03 5.83380738e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.12494885e-08 1.83939117e-08 4.61135046e-08) (-3.25127530e-09 1.90167290e-09 -1.89214887e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00695448      	((-5.43697904e-08 6.92819678e-02 9.67614497e-07) (8.30017795e-08 1.39229731e-03 1.43573701e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.10298273e-08 1.86925513e-08 4.54085906e-08) (-3.07101374e-09 1.63194736e-09 -1.72878992e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00723134      	((-1.07855520e-08 6.89091819e-02 1.01347810e-06) (7.83661294e-08 1.37546281e-03 2.20310858e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.07406795e-08 1.64257439e-08 4.34889961e-08) (-2.89601727e-09 1.56126858e-09 -1.55067949e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00750821      	((2.62789808e-08 6.85569680e-02 1.04535579e-06) (7.35433470e-08 1.36076173e-03 2.90532512e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.05801372e-08 1.45901341e-08 4.14921676e-08) (-2.72580618e-09 1.51618912e-09 -1.37976598e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00778507      	((5.89625611e-08 6.82247724e-02 7.34344084e-07) (6.85495631e-08 1.34739722e-03 2.71860385e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-8.85621509e-09 1.28049498e-08 3.94704727e-08) (-2.58953615e-09 1.47766803e-09 -1.21437508e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00806194      	((9.89371962e-08 6.79105721e-02 1.14838431e-06) (6.39265443e-08 1.33632882e-03 8.17450404e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.14019549e-08 1.21710797e-08 3.68204981e-08) (-1.78866456e-09 1.33961790e-09 -1.07845495e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00833881      	((1.28937145e-07 6.76067119e-02 1.62457889e-06) (5.95449312e-08 1.32682561e-03 6.08566627e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.00859188e-08 1.04589838e-08 3.46434280e-08) (-2.18716312e-09 1.27768536e-09 -9.38794547e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00861567      	((1.57757340e-07 6.73113873e-02 1.44241669e-06) (5.61008911e-08 1.31891186e-03 4.50432276e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.00637561e-08 1.08813857e-08 3.24132356e-08) (-4.20894913e-09 1.01510135e-09 -8.42435185e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00889254      	((1.85597065e-07 6.70203811e-02 1.03051460e-06) (5.24873024e-08 1.31236511e-03 5.59457091e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-9.53311363e-09 5.84210336e-09 3.02546006e-08) (-3.73216673e-09 1.33379695e-09 -7.55144182e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0091694       	((2.09194150e-07 6.67371303e-02 1.04238673e-06) (4.95211178e-08 1.30646625e-03 6.30307575e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.04049460e-08 5.40737910e-09 2.82974943e-08) (-3.09331537e-09 1.38532919e-09 -6.94937218e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00944627      	((2.30280314e-07 6.64625656e-02 1.06432979e-06) (4.67799064e-08 1.30255078e-03 7.03343042e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.07668958e-08 4.73411699e-09 2.65393797e-08) (-2.39956889e-09 1.14191496e-09 -6.56250898e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.00972313      	((2.46966682e-07 6.61920837e-02 1.05328348e-06) (4.40453857e-08 1.29988736e-03 7.34300010e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.09203513e-08 5.79491954e-09 2.52909592e-08) (-2.01837656e-09 9.30036538e-10 -6.35824921e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.01            	((2.68843539e-07 6.59253356e-02 1.04096330e-06) (4.29655061e-08 1.29809266e-03 7.60580717e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.08746996e-08 5.48623480e-10 2.40760083e-08) (-1.73763720e-09 1.52034858e-09 -6.23562574e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0102941       	((2.86686276e-07 6.56429559e-02 1.04906304e-06) (3.83974227e-08 1.29709230e-03 7.87437134e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.02638056e-08 6.41417530e-09 2.29223171e-08) (-1.52958665e-09 8.15432063e-10 -6.51914373e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0105882       	((2.72222225e-07 6.53689611e-02 1.03842160e-06) (3.54758490e-08 1.29667757e-03 8.21001481e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.01775659e-08 3.46989149e-09 2.33516968e-08) (-1.31463076e-09 8.55311363e-10 -6.76027120e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0108824       	((2.70537509e-07 6.50981386e-02 1.02448756e-06) (3.28749182e-08 1.29681930e-03 8.48087723e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.01318922e-08 4.81708295e-09 2.34166992e-08) (-1.13938134e-09 4.84012436e-10 -6.98730765e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0111765       	((2.65272094e-07 6.48326289e-02 1.00002551e-06) (3.03113148e-08 1.29741635e-03 8.71437863e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.03067257e-08 9.23708188e-09 2.37700388e-08) (-1.00202417e-09 -4.58838210e-11 -7.46582504e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0114706       	((2.56539909e-07 6.45723341e-02 9.66034946e-07) (2.78870252e-08 1.29839971e-03 8.95004397e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.07521325e-08 -2.10241113e-09 2.43429734e-08) (-8.75260305e-10 9.65146651e-10 -7.90836130e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0117647       	((2.48051800e-07 6.43180503e-02 9.24749102e-07) (2.52637976e-08 1.29961072e-03 9.11203514e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.12642098e-08 -1.32815803e-09 2.50256905e-08) (-7.86499193e-10 7.89974087e-10 -8.52798010e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0120588       	((2.35258950e-07 6.40714316e-02 8.76440197e-07) (2.31029201e-08 1.30119076e-03 9.23743433e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.21195209e-08 5.20395216e-09 2.56837322e-08) (-7.05078951e-10 8.84032540e-11 -8.74034171e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0123529       	((2.23177878e-07 6.38299718e-02 8.25864248e-07) (2.09555396e-08 1.30298179e-03 9.32902813e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.28399729e-08 -5.53544377e-09 2.64509963e-08) (-6.37286452e-10 1.02614941e-09 -8.96932379e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0126471       	((2.15042544e-07 6.35970930e-02 7.71437243e-07) (1.89974441e-08 1.30497393e-03 9.41748501e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.37212832e-08 -1.56421300e-08 2.69485599e-08) (-5.65697429e-10 2.12974681e-09 -9.00620976e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0129412       	((2.03284946e-07 6.33697095e-02 7.10067908e-07) (1.72003924e-08 1.30703978e-03 9.48505523e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.47312886e-08 -4.60227312e-09 2.76460064e-08) (-5.03187191e-10 1.12860970e-09 -9.02866316e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0132353       	((1.89430912e-07 6.31499613e-02 6.48375618e-07) (1.67538949e-08 1.30898080e-03 9.44866090e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.59173004e-08 -4.80728091e-09 2.84817722e-08) (-4.70788606e-10 1.01530722e-09 -9.27981082e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0135294       	((2.08854223e-07 6.29424280e-02 5.27646691e-07) (1.67829575e-08 1.31082674e-03 9.59450512e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.80364934e-08 -3.37609651e-09 2.72230767e-08) (-4.54285255e-10 3.51191097e-10 -8.41787406e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0138235       	((1.54228315e-07 6.27420927e-02 4.82917656e-07) (1.02758228e-08 1.31275092e-03 9.46071228e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.94835432e-08 -4.31339231e-09 3.09731980e-08) (-4.91557971e-10 4.15489762e-10 -6.02570558e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0141176       	((1.21246487e-07 6.25460142e-02 8.33102433e-07) (1.12595218e-08 1.31453513e-03 1.26669927e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.78687152e-08 -1.32331242e-08 3.28043940e-08) (-2.85008929e-10 5.54688079e-10 -7.64605065e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0144118       	((2.69096201e-07 6.23633157e-02 5.86282908e-07) (2.00234611e-08 1.31658261e-03 1.35269260e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.09168840e-08 -7.64876384e-09 2.42103288e-08) (-4.52145126e-09 1.40766552e-09 -6.45890790e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0147059       	((2.30795946e-07 6.21868495e-02 -7.02945613e-09) (2.11379823e-08 1.31863923e-03 1.13271640e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.41214990e-08 -8.16163614e-09 2.62804237e-08) (-5.87906746e-09 1.22680089e-09 -5.03378604e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.015           	((3.19903350e-07 6.20139145e-02 -6.30091137e-07) (-2.07846931e-08 1.32076469e-03 5.22019537e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.61409878e-08 -2.34451558e-09 2.06760035e-08) (-3.64179598e-09 5.45341180e-10 -1.96031660e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0152941       	((1.12400764e-07 6.18522281e-02 -1.15102907e-07) (3.51391417e-08 1.32260446e-03 2.70900237e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.69325116e-08 -1.43974485e-08 3.34113133e-08) (5.41998710e-10 2.12355489e-09 -7.27880933e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0155882       	((-7.58993703e-08 6.16962196e-02 -1.07263929e-07) (6.79897776e-08 1.32448094e-03 1.36998609e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-3.33306314e-08 -5.77551562e-09 4.44393322e-08) (1.49211655e-09 6.55849172e-10 -4.33691826e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0158824       	((2.52513578e-07 6.15477970e-02 2.49277150e-08) (3.86050687e-08 1.32608240e-03 1.13509817e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.61917295e-08 -1.14878075e-08 2.46525682e-08) (5.94245993e-10 9.63896356e-10 2.98700311e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0161765       	((4.42273961e-07 6.14034248e-02 1.44749066e-07) (-1.45789737e-08 1.32742965e-03 8.14934358e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.44809826e-08 -1.11654737e-08 1.12684523e-08) (-2.06790640e-09 1.06948376e-09 9.30693431e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0164706       	((1.76967266e-07 6.12663828e-02 -2.44415133e-07) (2.43538269e-08 1.32888473e-03 3.72122010e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.33072470e-08 -1.07802013e-08 2.71121557e-08) (8.35504139e-10 9.29418876e-10 -4.34489433e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0167647       	((1.78404333e-07 6.11370355e-02 1.16700477e-07) (2.33363468e-08 1.33024876e-03 1.12886814e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.67993019e-08 -1.15976353e-08 2.68868850e-08) (-1.44906369e-09 8.09735858e-10 -6.94976758e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
0.0170588       	((1.05734214e-07 6.10104164e-02 1.13018928e-08) (8.09836291e-08 1.33146682e-03 1.14530504e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-2.62019793e-08 -5.77960968e-09 2.83057338e-08) (-9.74402259e-10 1.86099538e-10 -4.08237959e-10) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
