# Residuals     
# Time          	p               	Ux              	Uy              	Uz              	k               	epsilon         	h               
0               	N/A	N/A	N/A	N/A	N/A
0.00873217      	4.13923384e-03	5.14267363e-03	2.09701012e-03	4.60530188e-03	1.28180351e-03	1.13169605e-03	1.88869260e-02
0.00898574      	4.01822120e-03	5.00893724e-03	2.05345123e-03	4.47963603e-03	1.28565979e-03	1.13116707e-03	1.82941476e-02
0.0092393       	3.86813509e-03	4.87990930e-03	2.01202426e-03	4.35815397e-03	1.29455313e-03	1.13362032e-03	1.77378179e-02
0.00949287      	3.71807847e-03	4.75833564e-03	1.97343378e-03	4.24320249e-03	1.30830745e-03	1.14362248e-03	1.72098270e-02
0.00974643      	3.60761952e-03	4.64194582e-03	1.93809321e-03	4.13126951e-03	1.32499390e-03	1.16205375e-03	1.67143972e-02
0.01            	3.51469585e-03	4.52692402e-03	1.90377240e-03	4.01941520e-03	1.33767265e-03	1.17735020e-03	1.62635276e-02
0.0102703       	1.65827520e-02	4.61587322e-03	1.96886998e-03	4.07904237e-03	1.42127640e-03	1.24848152e-03	1.67591089e-02
0.0105405       	5.61554379e-03	4.69578465e-03	1.95567893e-03	4.12562270e-03	1.42818486e-03	1.24798536e-03	1.67755241e-02
0.0108108       	4.57805980e-03	4.48407324e-03	1.91036104e-03	3.93554921e-03	1.43144363e-03	1.24358743e-03	1.59346524e-02
0.0110811       	4.11743528e-03	4.35904696e-03	1.86748210e-03	3.81928282e-03	1.43323043e-03	1.23508396e-03	1.55049620e-02
0.0113514       	3.75123470e-03	4.24726177e-03	1.82923376e-03	3.71269053e-03	1.43647524e-03	1.22565973e-03	1.51064113e-02
0.0116216       	3.54680445e-03	4.14596860e-03	1.79538769e-03	3.61403864e-03	1.44142561e-03	1.21718071e-03	1.47238859e-02
0.0118919       	3.42864658e-03	4.05210987e-03	1.76468486e-03	3.52084314e-03	1.44714913e-03	1.21173258e-03	1.43627597e-02
0.0121622       	3.33001187e-03	3.96276741e-03	1.73616084e-03	3.43333465e-03	1.45609360e-03	1.21004463e-03	1.40117527e-02
0.0124324       	3.29718023e-03	3.87933060e-03	1.70833121e-03	3.35113885e-03	1.46527363e-03	1.21354802e-03	1.36931380e-02
0.0127027       	3.21715189e-03	3.80162201e-03	1.68141949e-03	3.27326284e-03	1.47579463e-03	1.21694554e-03	1.33996368e-02
0.012973        	3.09539696e-03	3.72735262e-03	1.65477629e-03	3.19956289e-03	1.48575821e-03	1.22113763e-03	1.31179261e-02
0.0132432       	2.97967382e-03	3.65595847e-03	1.62916350e-03	3.12962180e-03	1.49611351e-03	1.22642566e-03	1.28385174e-02
0.0135135       	2.89131757e-03	3.58625134e-03	1.60450467e-03	3.05949764e-03	1.50944945e-03	1.23184543e-03	1.25754223e-02
0.0137838       	2.85254898e-03	3.51951550e-03	1.58085681e-03	2.99286093e-03	1.52324437e-03	1.24238373e-03	1.23306991e-02
0.0140541       	2.80089951e-03	3.45535988e-03	1.55797727e-03	2.92812551e-03	1.53729373e-03	1.25255234e-03	1.20935116e-02
0.0143243       	2.77254972e-03	3.39573735e-03	1.53592680e-03	2.86758762e-03	1.55115730e-03	1.26188335e-03	1.18669703e-02
0.0145946       	2.73529055e-03	3.33909979e-03	1.51437790e-03	2.81065123e-03	1.56522548e-03	1.27252699e-03	1.16526705e-02
0.0148649       	2.69173092e-03	3.28532196e-03	1.49308078e-03	2.75642086e-03	1.57750572e-03	1.28282660e-03	1.14508628e-02
0.0151351       	2.65535878e-03	3.23281259e-03	1.47238807e-03	2.70557080e-03	1.58787588e-03	1.29051137e-03	1.12489491e-02
0.0154054       	2.61450230e-03	3.18386830e-03	1.45257754e-03	2.65866404e-03	1.59725414e-03	1.29832429e-03	1.10611020e-02
0.0156757       	2.54921950e-03	3.13427184e-03	1.43337272e-03	2.60788345e-03	1.60508391e-03	1.30658562e-03	1.08802051e-02
0.0159459       	2.48167941e-03	3.08610968e-03	1.41412892e-03	2.55941389e-03	1.61208389e-03	1.31555663e-03	1.07051986e-02
0.0162162       	2.63710830e-03	3.04671348e-03	1.39611390e-03	2.51883069e-03	1.61961868e-03	1.33025227e-03	1.05405984e-02
0.0164865       	2.44445692e-03	3.00945786e-03	1.37724205e-03	2.48118742e-03	1.62595920e-03	1.33771054e-03	1.03702903e-02
0.0167568       	2.43155857e-03	2.97209945e-03	1.35948415e-03	2.44369963e-03	1.63139580e-03	1.34471801e-03	1.02102275e-02
0.017027        	2.39072921e-03	2.93193007e-03	1.34180375e-03	2.40440656e-03	1.63840319e-03	1.35004922e-03	1.00594797e-02
0.0172973       	2.35566194e-03	2.89333702e-03	1.32446780e-03	2.36646903e-03	1.64601333e-03	1.35751573e-03	9.91757126e-03
0.0175676       	2.33136565e-03	2.85646484e-03	1.30744390e-03	2.33020762e-03	1.65288725e-03	1.36664157e-03	9.77641906e-03
0.0178378       	2.29931103e-03	2.82039671e-03	1.29084715e-03	2.29590725e-03	1.65894933e-03	1.37620558e-03	9.64517022e-03
0.0181081       	2.26601745e-03	2.78492971e-03	1.27458836e-03	2.26387744e-03	1.66401264e-03	1.38388232e-03	9.51243364e-03
0.0183784       	2.23274583e-03	2.75300166e-03	1.25866826e-03	2.23343327e-03	1.66841366e-03	1.39212883e-03	9.39026687e-03
0.0186486       	2.22505695e-03	2.72194038e-03	1.24312147e-03	2.20352135e-03	1.67165740e-03	1.40007274e-03	9.25627051e-03
0.0189189       	2.19851439e-03	2.69029483e-03	1.22772868e-03	2.17385454e-03	1.67326774e-03	1.40629421e-03	9.13029317e-03
0.0191892       	2.18073145e-03	2.65950717e-03	1.21278081e-03	2.14455346e-03	1.67406179e-03	1.41139400e-03	9.01563352e-03
0.0194595       	2.15445292e-03	2.63377513e-03	1.19828618e-03	2.12039043e-03	1.67397237e-03	1.41637293e-03	8.90446193e-03
0.0197297       	2.13606507e-03	2.60663523e-03	1.18415633e-03	2.09535422e-03	1.67373568e-03	1.42076763e-03	8.79543520e-03
0.02            	2.11980079e-03	2.57864187e-03	1.17040503e-03	2.06975697e-03	1.67291264e-03	1.42535870e-03	8.68333359e-03
0.0202703       	2.10087895e-03	2.55231405e-03	1.15730147e-03	2.04599091e-03	1.67124683e-03	1.42916466e-03	8.57359089e-03
0.0205405       	2.09010611e-03	2.52742360e-03	1.14435580e-03	2.02397434e-03	1.66843219e-03	1.43295053e-03	8.46812249e-03
0.0208108       	2.08078976e-03	2.50338315e-03	1.13152514e-03	2.00298221e-03	1.66430145e-03	1.43532542e-03	8.36721552e-03
0.0210811       	2.05523339e-03	2.47770769e-03	1.11894020e-03	1.98078379e-03	1.65929832e-03	1.43793181e-03	8.26932642e-03
0.0213514       	2.04595994e-03	2.45580398e-03	1.10698543e-03	1.96195443e-03	1.65383532e-03	1.44074480e-03	8.17209496e-03
0.0216216       	2.02166628e-03	2.43293930e-03	1.09498166e-03	1.94240141e-03	1.64783945e-03	1.44065325e-03	8.06700966e-03
0.0218919       	2.00536270e-03	2.40901077e-03	1.08300244e-03	1.92285556e-03	1.64112380e-03	1.43922507e-03	7.96583386e-03
0.0221622       	2.00139658e-03	2.38722831e-03	1.07152231e-03	1.90508440e-03	1.63349586e-03	1.43780239e-03	7.87194630e-03
0.0224324       	1.99421720e-03	2.36725793e-03	1.06032468e-03	1.88933683e-03	1.62569887e-03	1.43499276e-03	7.77837791e-03
0.0227027       	1.99696378e-03	2.34747566e-03	1.04940338e-03	1.87382510e-03	1.61665833e-03	1.43097442e-03	7.68326036e-03
0.022973        	2.01712250e-03	2.32837535e-03	1.03893120e-03	1.85962169e-03	1.60582238e-03	1.43302144e-03	7.58272567e-03
0.0232432       	1.99161414e-03	2.30727232e-03	1.02791551e-03	1.84278406e-03	1.59516556e-03	1.42287323e-03	7.47924042e-03
