Time,"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","epsilon","k","kMean","kPrime2Mean","nut","p","pMean","pPrime2Mean","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.00000e+00,8.21249e-05,1.21439e+01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.09547e+03,2.27015e+00,2.29757e+00,3.68071e-03,1.02201e-05,-1.53942e+01,-1.99283e+01,8.66364e+00,2.76226e+01,1,0.00000e+00,-1.20000e-01,1.00000e-01,0.00000e+00
1.00000e+00,-3.07940e-05,1.26316e+01,0.00000e+00,2.02636e-03,4.87586e+00,0.00000e+00,9.51336e-06,2.37363e-02,0.00000e+00,-2.28797e-04,0.00000e+00,0.00000e+00,3.53102e+03,2.07536e+00,2.10238e+00,3.08492e-03,5.07275e-05,-1.53938e+01,-1.99278e+01,8.66428e+00,1.77197e+01,1,2.39998e-04,-1.19760e-01,1.00000e-01,0.00000e+00
1.00000e+00,-1.43716e-04,1.31194e+01,0.00000e+00,4.05278e-03,9.75188e+00,0.00000e+00,1.90270e-05,4.74733e-02,0.00000e+00,-4.57601e-04,0.00000e+00,0.00000e+00,2.96656e+03,1.88056e+00,1.90718e+00,2.48911e-03,9.12362e-05,-1.53933e+01,-1.99273e+01,8.66492e+00,7.81642e+00,1,4.80004e-04,-1.19520e-01,1.00000e-01,0.00000e+00
1.00000e+00,-5.49094e-04,1.36411e+01,0.00000e+00,5.68035e-03,1.37395e+01,0.00000e+00,3.16157e-05,6.63889e-02,0.00000e+00,-6.83932e-04,0.00000e+00,0.00000e+00,2.39290e+03,1.67215e+00,1.69770e+00,1.89843e-03,1.24944e-04,-1.53931e+01,-1.99272e+01,8.66608e+00,0.00000e+00,1,7.20002e-04,-1.19280e-01,1.00000e-01,0.00000e+00
1.00000e+00,-2.05006e-03,1.42903e+01,0.00000e+00,5.81402e-03,1.43998e+01,0.00000e+00,5.57253e-05,6.72454e-02,0.00000e+00,-9.01028e-04,0.00000e+00,0.00000e+00,1.78469e+03,1.41270e+00,1.43471e+00,1.32693e-03,1.33180e-04,-1.53937e+01,-1.99286e+01,8.66916e+00,0.00000e+00,1,9.60000e-04,-1.19040e-01,1.00000e-01,0.00000e+00
1.00000e+00,-3.55102e-03,1.49395e+01,0.00000e+00,5.94768e-03,1.50601e+01,0.00000e+00,7.98348e-05,6.81019e-02,0.00000e+00,-1.11812e-03,0.00000e+00,0.00000e+00,1.17648e+03,1.15326e+00,1.17173e+00,7.55424e-04,1.41416e-04,-1.53943e+01,-1.99300e+01,8.67225e+00,0.00000e+00,1,1.20000e-03,-1.18800e-01,1.00000e-01,0.00000e+00
1.00000e+00,-5.07295e-03,1.55852e+01,0.00000e+00,6.05911e-03,1.57169e+01,0.00000e+00,1.04097e-04,6.89325e-02,0.00000e+00,-1.33501e-03,0.00000e+00,0.00000e+00,5.72733e+02,8.95386e-01,9.10320e-01,1.89081e-04,1.49991e-04,-1.53950e+01,-1.99315e+01,8.67536e+00,0.00000e+00,1,1.44000e-03,-1.18560e-01,1.00000e-01,0.00000e+00
1.00000e+00,-8.84947e-03,1.58489e+01,0.00000e+00,3.77190e-03,1.59863e+01,0.00000e+00,1.44691e-04,6.69647e-02,0.00000e+00,-1.52802e-03,0.00000e+00,0.00000e+00,4.51724e+02,8.08352e-01,8.19932e-01,1.81232e-04,1.95093e-04,-1.53992e+01,-1.99375e+01,8.68182e+00,0.00000e+00,1,1.68000e-03,-1.18320e-01,1.00000e-01,0.00000e+00
1.00000e+00,-1.26260e-02,1.61126e+01,0.00000e+00,1.48469e-03,1.62556e+01,0.00000e+00,1.85285e-04,6.49968e-02,0.00000e+00,-1.72104e-03,0.00000e+00,0.00000e+00,3.30714e+02,7.21317e-01,7.29545e-01,1.73382e-04,2.40194e-04,-1.54034e+01,-1.99436e+01,8.68827e+00,0.00000e+00,1,1.92000e-03,-1.18080e-01,1.00000e-01,0.00000e+00
1.00000e+00,-1.64025e-02,1.63764e+01,0.00000e+00,-8.02526e-04,1.65250e+01,0.00000e+00,2.25880e-04,6.30289e-02,0.00000e+00,-1.91405e-03,0.00000e+00,0.00000e+00,2.09705e+02,6.34282e-01,6.39158e-01,1.65532e-04,2.85296e-04,-1.54077e+01,-1.99496e+01,8.69473e+00,0.00000e+00,1,2.16000e-03,-1.17840e-01,1.00000e-01,0.00000e+00
1.00000e+00,-2.05815e-02,1.65790e+01,0.00000e+00,-3.59880e-03,1.67322e+01,0.00000e+00,2.70258e-04,6.12595e-02,0.00000e+00,-2.09668e-03,0.00000e+00,0.00000e+00,1.22268e+02,5.76911e-01,5.79387e-01,1.92178e-04,3.60411e-04,-1.54137e+01,-1.99576e+01,8.70252e+00,0.00000e+00,1,2.40000e-03,-1.17600e-01,1.00000e-01,0.00000e+00
1.00000e+00,-2.55603e-02,1.66599e+01,0.00000e+00,-7.40721e-03,1.68154e+01,0.00000e+00,3.22158e-04,5.98850e-02,0.00000e+00,-2.25861e-03,0.00000e+00,0.00000e+00,1.01606e+02,5.78539e-01,5.80509e-01,2.87427e-04,4.95209e-04,-1.54234e+01,-1.99693e+01,8.71297e+00,0.00000e+00,1,2.64000e-03,-1.17360e-01,1.00000e-01,0.00000e+00
1.00000e+00,-3.05391e-02,1.67409e+01,0.00000e+00,-1.12156e-02,1.68987e+01,0.00000e+00,3.74058e-04,5.85104e-02,0.00000e+00,-2.42055e-03,0.00000e+00,0.00000e+00,8.09442e+01,5.80166e-01,5.81632e-01,3.82676e-04,6.30008e-04,-1.54330e+01,-1.99811e+01,8.72343e+00,0.00000e+00,1,2.88000e-03,-1.17120e-01,1.00000e-01,0.00000e+00
1.00000e+00,-3.55179e-02,1.68219e+01,0.00000e+00,-1.50240e-02,1.69820e+01,0.00000e+00,4.25958e-04,5.71358e-02,0.00000e+00,-2.58248e-03,0.00000e+00,0.00000e+00,6.02824e+01,5.81794e-01,5.82754e-01,4.77925e-04,7.64806e-04,-1.54427e+01,-1.99928e+01,8.73388e+00,0.00000e+00,1,3.12000e-03,-1.16880e-01,1.00000e-01,0.00000e+00
1.00000e+00,-4.05136e-02,1.68967e+01,0.00000e+00,-1.88610e-02,1.70589e+01,0.00000e+00,4.79360e-04,5.58773e-02,0.00000e+00,-2.74533e-03,0.00000e+00,0.00000e+00,4.15577e+01,5.85487e-01,5.86017e-01,5.74618e-04,9.11056e-04,-1.54531e+01,-2.00053e+01,8.74483e+00,0.00000e+00,1,3.36000e-03,-1.16640e-01,1.00000e-01,0.00000e+00
1.00000e+00,-4.56360e-02,1.69248e+01,0.00000e+00,-2.29129e-02,1.70880e+01,0.00000e+00,5.44095e-04,5.54954e-02,0.00000e+00,-2.91499e-03,0.00000e+00,0.00000e+00,3.74657e+01,6.04777e-01,6.05442e-01,6.82191e-04,1.14374e-03,-1.54688e+01,-2.00233e+01,8.75952e+00,0.00000e+00,1,3.60000e-03,-1.16400e-01,1.00000e-01,0.00000e+00
1.00000e+00,-5.07584e-02,1.69529e+01,0.00000e+00,-2.69647e-02,1.71170e+01,0.00000e+00,6.08831e-04,5.51134e-02,0.00000e+00,-3.08465e-03,0.00000e+00,0.00000e+00,3.33737e+01,6.24067e-01,6.24867e-01,7.89763e-04,1.37642e-03,-1.54845e+01,-2.00413e+01,8.77422e+00,0.00000e+00,1,3.84000e-03,-1.16160e-01,1.00000e-01,0.00000e+00
1.00000e+00,-5.58807e-02,1.69810e+01,0.00000e+00,-3.10166e-02,1.71460e+01,0.00000e+00,6.73566e-04,5.47315e-02,0.00000e+00,-3.25432e-03,0.00000e+00,0.00000e+00,2.92817e+01,6.43357e-01,6.44292e-01,8.97336e-04,1.60911e-03,-1.55002e+01,-2.00593e+01,8.78891e+00,0.00000e+00,1,4.08000e-03,-1.15920e-01,1.00000e-01,0.00000e+00
1.00000e+00,-6.10032e-02,1.70092e+01,0.00000e+00,-3.50685e-02,1.71750e+01,0.00000e+00,7.38303e-04,5.43495e-02,0.00000e+00,-3.42398e-03,0.00000e+00,0.00000e+00,2.51896e+01,6.62648e-01,6.63717e-01,1.00491e-03,1.84180e-03,-1.55159e+01,-2.00773e+01,8.80361e+00,0.00000e+00,1,4.32000e-03,-1.15680e-01,1.00000e-01,0.00000e+00
1.00000e+00,-6.61091e-02,1.70333e+01,0.00000e+00,-3.91140e-02,1.72000e+01,0.00000e+00,8.07618e-04,5.40468e-02,0.00000e+00,-3.59548e-03,0.00000e+00,0.00000e+00,2.19177e+01,6.82266e-01,6.83517e-01,1.10979e-03,2.09072e-03,-1.55329e+01,-2.00967e+01,8.81923e+00,0.00000e+00,1,4.56000e-03,-1.15440e-01,1.00000e-01,0.00000e+00
1.00000e+00,-7.11718e-02,1.70470e+01,0.00000e+00,-4.31429e-02,1.72142e+01,0.00000e+00,8.88944e-04,5.39519e-02,0.00000e+00,-3.77176e-03,0.00000e+00,0.00000e+00,2.07970e+01,7.02746e-01,7.04303e-01,1.20759e-03,2.38225e-03,-1.55533e+01,-2.01200e+01,8.83727e+00,0.00000e+00,1,4.80000e-03,-1.15200e-01,1.00000e-01,0.00000e+00
1.00000e+00,-7.62345e-02,1.70607e+01,0.00000e+00,-4.71718e-02,1.72285e+01,0.00000e+00,9.70270e-04,5.38569e-02,0.00000e+00,-3.94804e-03,0.00000e+00,0.00000e+00,1.96762e+01,7.23226e-01,7.25088e-01,1.30539e-03,2.67379e-03,-1.55737e+01,-2.01432e+01,8.85531e+00,0.00000e+00,1,5.04000e-03,-1.14960e-01,1.00000e-01,0.00000e+00
1.00000e+00,-8.12974e-02,1.70743e+01,0.00000e+00,-5.12009e-02,1.72427e+01,0.00000e+00,1.05160e-03,5.37620e-02,0.00000e+00,-4.12434e-03,0.00000e+00,0.00000e+00,1.85555e+01,7.43706e-01,7.45874e-01,1.40320e-03,2.96533e-03,-1.55941e+01,-2.01665e+01,8.87335e+00,0.00000e+00,1,5.28000e-03,-1.14720e-01,1.00000e-01,0.00000e+00
1.00000e+00,-8.63601e-02,1.70880e+01,0.00000e+00,-5.52298e-02,1.72570e+01,0.00000e+00,1.13292e-03,5.36671e-02,0.00000e+00,-4.30062e-03,0.00000e+00,0.00000e+00,1.74347e+01,7.64186e-01,7.66659e-01,1.50100e-03,3.25686e-03,-1.56145e+01,-2.01897e+01,8.89140e+00,0.00000e+00,1,5.52000e-03,-1.14480e-01,1.00000e-01,0.00000e+00
1.00000e+00,-9.14228e-02,1.71017e+01,0.00000e+00,-5.92587e-02,1.72712e+01,0.00000e+00,1.21425e-03,5.35721e-02,0.00000e+00,-4.47690e-03,0.00000e+00,0.00000e+00,1.63140e+01,7.84666e-01,7.87444e-01,1.59881e-03,3.54839e-03,-1.56349e+01,-2.02130e+01,8.90944e+00,0.00000e+00,1,5.76000e-03,-1.14240e-01,1.00000e-01,0.00000e+00
1.00000e+00,-9.64344e-02,1.71115e+01,0.00000e+00,-6.32437e-02,1.72816e+01,0.00000e+00,1.31022e-03,5.35427e-02,0.00000e+00,-4.65576e-03,0.00000e+00,0.00000e+00,1.57473e+01,8.04656e-01,8.07802e-01,1.69684e-03,3.84858e-03,-1.56574e+01,-2.02391e+01,8.92945e+00,0.00000e+00,1,6.00000e-03,-1.14000e-01,1.00000e-01,0.00000e+00
1.00000e+00,-1.01426e-01,1.71199e+01,0.00000e+00,-6.72118e-02,1.72904e+01,0.00000e+00,1.41188e-03,5.35389e-02,0.00000e+00,-4.83562e-03,0.00000e+00,0.00000e+00,1.53963e+01,8.24455e-01,8.27995e-01,1.79497e-03,4.15216e-03,-1.56807e+01,-2.02663e+01,8.95022e+00,0.00000e+00,1,6.24000e-03,-1.13760e-01,1.00000e-01,0.00000e+00
1.00000e+00,-1.06418e-01,1.71282e+01,0.00000e+00,-7.11798e-02,1.72993e+01,0.00000e+00,1.51355e-03,5.35350e-02,0.00000e+00,-5.01548e-03,0.00000e+00,0.00000e+00,1.50453e+01,8.44254e-01,8.48187e-01,1.89310e-03,4.45573e-03,-1.57041e+01,-2.02935e+01,8.97100e+00,0.00000e+00,1,6.48000e-03,-1.13520e-01,1.00000e-01,0.00000e+00
1.00000e+00,-1.11410e-01,1.71366e+01,0.00000e+00,-7.51478e-02,1.73081e+01,0.00000e+00,1.61522e-03,5.35311e-02,0.00000e+00,-5.19533e-03,0.00000e+00,0.00000e+00,1.46943e+01,8.64054e-01,8.68378e-01,1.99122e-03,4.75929e-03,-1.57274e+01,-2.03207e+01,8.99177e+00,0.00000e+00,1,6.72000e-03,-1.13280e-01,1.00000e-01,0.00000e+00
1.00000e+00,-1.16402e-01,1.71449e+01,0.00000e+00,-7.91157e-02,1.73170e+01,0.00000e+00,1.71688e-03,5.35273e-02,0.00000e+00,-5.37519e-03,0.00000e+00,0.00000e+00,1.43433e+01,8.83853e-01,8.88570e-01,2.08935e-03,5.06286e-03,-1.57507e+01,-2.03480e+01,9.01255e+00,0.00000e+00,1,6.96000e-03,-1.13040e-01,1.00000e-01,0.00000e+00
1.00000e+00,-1.21394e-01,1.71533e+01,0.00000e+00,-8.30838e-02,1.73259e+01,0.00000e+00,1.81855e-03,5.35234e-02,0.00000e+00,-5.55505e-03,0.00000e+00,0.00000e+00,1.39923e+01,9.03653e-01,9.08763e-01,2.18748e-03,5.36644e-03,-1.57740e+01,-2.03752e+01,9.03332e+00,0.00000e+00,1,7.20000e-03,-1.12800e-01,1.00000e-01,0.00000e+00
1.00000e+00,-1.26354e-01,1.71607e+01,0.00000e+00,-8.70215e-02,1.73339e+01,0.00000e+00,1.92848e-03,5.35330e-02,0.00000e+00,-5.73538e-03,0.00000e+00,0.00000e+00,1.37376e+01,9.23327e-01,9.28861e-01,2.28734e-03,5.66359e-03,-1.57980e+01,-2.04036e+01,9.05505e+00,0.00000e+00,1,7.44000e-03,-1.12560e-01,1.00000e-01,0.00000e+00
