Time,"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","epsilon","k","kMean","kPrime2Mean","nut","p","pMean","pPrime2Mean","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.40000e-01,-1.05553e-03,1.71635e+01,0.00000e+00,-1.89249e-02,1.70641e+01,0.00000e+00,4.71600e-04,5.63515e-02,0.00000e+00,-2.78288e-03,0.00000e+00,0.00000e+00,4.28564e+01,5.81690e-01,5.86440e-01,5.76607e-04,8.79235e-04,-2.15709e+01,-2.01062e+01,8.88298e+00,0.00000e+00,1,3.36000e-03,-1.16640e-01,1.00000e-01,0.00000e+00
9.40000e-01,-4.31548e-03,1.71934e+01,0.00000e+00,-2.29799e-02,1.70931e+01,0.00000e+00,5.35317e-04,5.59629e-02,0.00000e+00,-2.95444e-03,0.00000e+00,0.00000e+00,3.85577e+01,6.01006e-01,6.05898e-01,6.84396e-04,1.10943e-03,-2.15905e+01,-2.01243e+01,8.89788e+00,0.00000e+00,1,3.60000e-03,-1.16400e-01,1.00000e-01,0.00000e+00
9.40000e-01,-7.57542e-03,1.72233e+01,0.00000e+00,-2.70349e-02,1.71221e+01,0.00000e+00,5.99035e-04,5.55743e-02,0.00000e+00,-3.12600e-03,0.00000e+00,0.00000e+00,3.42589e+01,6.20323e-01,6.25356e-01,7.92185e-04,1.33962e-03,-2.16101e+01,-2.01423e+01,8.91279e+00,0.00000e+00,1,3.84000e-03,-1.16160e-01,1.00000e-01,0.00000e+00
9.40000e-01,-1.08354e-02,1.72532e+01,0.00000e+00,-3.10899e-02,1.71511e+01,0.00000e+00,6.62752e-04,5.51857e-02,0.00000e+00,-3.29756e-03,0.00000e+00,0.00000e+00,2.99602e+01,6.39639e-01,6.44814e-01,8.99974e-04,1.56981e-03,-2.16297e+01,-2.01603e+01,8.92769e+00,0.00000e+00,1,4.08000e-03,-1.15920e-01,1.00000e-01,0.00000e+00
9.40000e-01,-1.40954e-02,1.72831e+01,0.00000e+00,-3.51450e-02,1.71801e+01,0.00000e+00,7.26472e-04,5.47971e-02,0.00000e+00,-3.46913e-03,0.00000e+00,0.00000e+00,2.56613e+01,6.58957e-01,6.64273e-01,1.00777e-03,1.80001e-03,-2.16493e+01,-2.01784e+01,8.94260e+00,0.00000e+00,1,4.32000e-03,-1.15680e-01,1.00000e-01,0.00000e+00
9.40000e-01,-1.73596e-02,1.73088e+01,0.00000e+00,-3.91936e-02,1.72051e+01,0.00000e+00,7.94695e-04,5.44887e-02,0.00000e+00,-3.64247e-03,0.00000e+00,0.00000e+00,2.22306e+01,6.78718e-01,6.84103e-01,1.11282e-03,2.04743e-03,-2.16704e+01,-2.01979e+01,8.95844e+00,0.00000e+00,1,4.56000e-03,-1.15440e-01,1.00000e-01,0.00000e+00
9.40000e-01,-2.06349e-02,1.73236e+01,0.00000e+00,-4.32253e-02,1.72193e+01,0.00000e+00,8.74740e-04,5.43905e-02,0.00000e+00,-3.82049e-03,0.00000e+00,0.00000e+00,2.10767e+01,6.99646e-01,7.04910e-01,1.21072e-03,2.34001e-03,-2.16957e+01,-2.02212e+01,8.97673e+00,0.00000e+00,1,4.80000e-03,-1.15200e-01,1.00000e-01,0.00000e+00
9.40000e-01,-2.39102e-02,1.73384e+01,0.00000e+00,-4.72570e-02,1.72335e+01,0.00000e+00,9.54784e-04,5.42924e-02,0.00000e+00,-3.99851e-03,0.00000e+00,0.00000e+00,1.99227e+01,7.20573e-01,7.25717e-01,1.30862e-03,2.63260e-03,-2.17210e+01,-2.02445e+01,8.99503e+00,0.00000e+00,1,5.04000e-03,-1.14960e-01,1.00000e-01,0.00000e+00
9.40000e-01,-2.71857e-02,1.73532e+01,0.00000e+00,-5.12888e-02,1.72478e+01,0.00000e+00,1.03483e-03,5.41943e-02,0.00000e+00,-4.17654e-03,0.00000e+00,0.00000e+00,1.87688e+01,7.41501e-01,7.46524e-01,1.40651e-03,2.92519e-03,-2.17463e+01,-2.02678e+01,9.01332e+00,0.00000e+00,1,5.28000e-03,-1.14720e-01,1.00000e-01,0.00000e+00
9.40000e-01,-3.04610e-02,1.73680e+01,0.00000e+00,-5.53206e-02,1.72620e+01,0.00000e+00,1.11487e-03,5.40961e-02,0.00000e+00,-4.35456e-03,0.00000e+00,0.00000e+00,1.76149e+01,7.62429e-01,7.67331e-01,1.50441e-03,3.21778e-03,-2.17716e+01,-2.02911e+01,9.03161e+00,0.00000e+00,1,5.52000e-03,-1.14480e-01,1.00000e-01,0.00000e+00
9.40000e-01,-3.37363e-02,1.73827e+01,0.00000e+00,-5.93523e-02,1.72763e+01,0.00000e+00,1.19492e-03,5.39980e-02,0.00000e+00,-4.53258e-03,0.00000e+00,0.00000e+00,1.64610e+01,7.83357e-01,7.88138e-01,1.60231e-03,3.51036e-03,-2.17969e+01,-2.03144e+01,9.04991e+00,0.00000e+00,1,5.76000e-03,-1.14240e-01,1.00000e-01,0.00000e+00
9.40000e-01,-3.69787e-02,1.73936e+01,0.00000e+00,-6.33400e-02,1.72866e+01,0.00000e+00,1.28937e-03,5.39661e-02,0.00000e+00,-4.71314e-03,0.00000e+00,0.00000e+00,1.58832e+01,8.03937e-01,8.08515e-01,1.70038e-03,3.81374e-03,-2.18257e+01,-2.03406e+01,9.07013e+00,0.00000e+00,1,6.00000e-03,-1.14000e-01,1.00000e-01,0.00000e+00
9.40000e-01,-4.02085e-02,1.74029e+01,0.00000e+00,-6.73106e-02,1.72955e+01,0.00000e+00,1.38943e-03,5.39600e-02,0.00000e+00,-4.89470e-03,0.00000e+00,0.00000e+00,1.55298e+01,8.24383e-01,8.28725e-01,1.79853e-03,4.12133e-03,-2.18559e+01,-2.03679e+01,9.09111e+00,0.00000e+00,1,6.24000e-03,-1.13760e-01,1.00000e-01,0.00000e+00
