Time,"U:0","U:1","U:2","epsilon","k","nut","p","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.000000e+03,-7.305784e-02,1.744701e+01,0.000000e+00,1.353693e+01,7.886667e-01,4.344749e-03,-1.710873e+01,0.000000e+00,1,6.719999e-03,-1.132800e-01,1.000000e-01,0.000000e+00
2.000000e+03,-7.677823e-02,1.745493e+01,0.000000e+00,1.316432e+01,8.082947e-01,4.647277e-03,-1.713752e+01,0.000000e+00,1,6.959997e-03,-1.130400e-01,1.000000e-01,0.000000e+00
2.000000e+03,-8.049873e-02,1.746286e+01,0.000000e+00,1.279169e+01,8.279234e-01,4.949815e-03,-1.716631e+01,0.000000e+00,1,7.200003e-03,-1.128000e-01,1.000000e-01,0.000000e+00
2.000000e+03,-8.418988e-02,1.746991e+01,0.000000e+00,1.252588e+01,8.475724e-01,5.247017e-03,-1.719641e+01,0.000000e+00,1,7.440001e-03,-1.125600e-01,1.000000e-01,0.000000e+00
2.000000e+03,-8.782484e-02,1.747528e+01,0.000000e+00,1.246527e+01,8.672621e-01,5.533986e-03,-1.722903e+01,0.000000e+00,1,7.679999e-03,-1.123200e-01,1.000000e-01,0.000000e+00
2.000000e+03,-9.145981e-02,1.748066e+01,0.000000e+00,1.240467e+01,8.869518e-01,5.820954e-03,-1.726165e+01,0.000000e+00,1,7.919997e-03,-1.120800e-01,1.000000e-01,0.000000e+00
2.000000e+03,-9.509488e-02,1.748603e+01,0.000000e+00,1.234406e+01,9.066421e-01,6.107932e-03,-1.729428e+01,0.000000e+00,1,8.160003e-03,-1.118400e-01,1.000000e-01,0.000000e+00
2.000000e+03,-9.872985e-02,1.749140e+01,0.000000e+00,1.228345e+01,9.263318e-01,6.394900e-03,-1.732690e+01,0.000000e+00,1,8.400001e-03,-1.116000e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.023648e-01,1.749678e+01,0.000000e+00,1.222285e+01,9.460214e-01,6.681869e-03,-1.735952e+01,0.000000e+00,1,8.639999e-03,-1.113600e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.059998e-01,1.750215e+01,0.000000e+00,1.216224e+01,9.657111e-01,6.968838e-03,-1.739214e+01,0.000000e+00,1,8.879997e-03,-1.111200e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.096328e-01,1.750750e+01,0.000000e+00,1.210499e+01,9.854138e-01,7.254994e-03,-1.742485e+01,0.000000e+00,1,9.120002e-03,-1.108800e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.131744e-01,1.751174e+01,0.000000e+00,1.219389e+01,1.005659e+00,7.505437e-03,-1.746150e+01,0.000000e+00,1,9.360000e-03,-1.106400e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.167160e-01,1.751598e+01,0.000000e+00,1.228278e+01,1.025905e+00,7.755880e-03,-1.749815e+01,0.000000e+00,1,9.599999e-03,-1.104000e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.202576e-01,1.752022e+01,0.000000e+00,1.237168e+01,1.046151e+00,8.006323e-03,-1.753480e+01,0.000000e+00,1,9.839997e-03,-1.101600e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.237993e-01,1.752446e+01,0.000000e+00,1.246058e+01,1.066397e+00,8.256773e-03,-1.757145e+01,0.000000e+00,1,1.008000e-02,-1.099200e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.273409e-01,1.752869e+01,0.000000e+00,1.254947e+01,1.086643e+00,8.507216e-03,-1.760810e+01,0.000000e+00,1,1.032000e-02,-1.096800e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.308825e-01,1.753293e+01,0.000000e+00,1.263837e+01,1.106888e+00,8.757659e-03,-1.764474e+01,0.000000e+00,1,1.056000e-02,-1.094400e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.344241e-01,1.753717e+01,0.000000e+00,1.272726e+01,1.127134e+00,9.008103e-03,-1.768139e+01,0.000000e+00,1,1.080000e-02,-1.092000e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.379658e-01,1.754141e+01,0.000000e+00,1.281616e+01,1.147380e+00,9.258553e-03,-1.771804e+01,0.000000e+00,1,1.104000e-02,-1.089600e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.414454e-01,1.754533e+01,0.000000e+00,1.296967e+01,1.168314e+00,9.480959e-03,-1.775765e+01,0.000000e+00,1,1.128000e-02,-1.087200e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.448870e-01,1.754906e+01,0.000000e+00,1.316263e+01,1.189669e+00,9.686246e-03,-1.779906e+01,0.000000e+00,1,1.152000e-02,-1.084800e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.483287e-01,1.755279e+01,0.000000e+00,1.335559e+01,1.211024e+00,9.891533e-03,-1.784047e+01,0.000000e+00,1,1.176000e-02,-1.082400e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.517704e-01,1.755652e+01,0.000000e+00,1.354855e+01,1.232380e+00,1.009683e-02,-1.788188e+01,0.000000e+00,1,1.200000e-02,-1.080000e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.552121e-01,1.756025e+01,0.000000e+00,1.374151e+01,1.253734e+00,1.030211e-02,-1.792329e+01,0.000000e+00,1,1.224000e-02,-1.077600e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.586538e-01,1.756398e+01,0.000000e+00,1.393447e+01,1.275089e+00,1.050740e-02,-1.796469e+01,0.000000e+00,1,1.248000e-02,-1.075200e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.620954e-01,1.756770e+01,0.000000e+00,1.412742e+01,1.296444e+00,1.071269e-02,-1.800611e+01,0.000000e+00,1,1.272000e-02,-1.072800e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.655372e-01,1.757143e+01,0.000000e+00,1.432039e+01,1.317799e+00,1.091798e-02,-1.804752e+01,0.000000e+00,1,1.296000e-02,-1.070400e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.689789e-01,1.757516e+01,0.000000e+00,1.451334e+01,1.339154e+00,1.112327e-02,-1.808892e+01,0.000000e+00,1,1.320000e-02,-1.068000e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.724205e-01,1.757889e+01,0.000000e+00,1.470630e+01,1.360509e+00,1.132856e-02,-1.813033e+01,0.000000e+00,1,1.344000e-02,-1.065600e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.757545e-01,1.758242e+01,0.000000e+00,1.499846e+01,1.383535e+00,1.148866e-02,-1.817744e+01,0.000000e+00,1,1.368000e-02,-1.063200e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.790862e-01,1.758595e+01,0.000000e+00,1.529288e+01,1.406599e+00,1.164775e-02,-1.822468e+01,0.000000e+00,1,1.392000e-02,-1.060800e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.824178e-01,1.758948e+01,0.000000e+00,1.558729e+01,1.429663e+00,1.180683e-02,-1.827191e+01,0.000000e+00,1,1.416000e-02,-1.058400e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.857494e-01,1.759301e+01,0.000000e+00,1.588170e+01,1.452726e+00,1.196590e-02,-1.831914e+01,0.000000e+00,1,1.440000e-02,-1.056000e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.890809e-01,1.759654e+01,0.000000e+00,1.617611e+01,1.475790e+00,1.212498e-02,-1.836638e+01,0.000000e+00,1,1.464000e-02,-1.053600e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.924126e-01,1.760007e+01,0.000000e+00,1.647053e+01,1.498854e+00,1.228407e-02,-1.841361e+01,0.000000e+00,1,1.488000e-02,-1.051200e-01,1.000000e-01,0.000000e+00
2.000000e+03,-1.957442e-01,1.760360e+01,0.000000e+00,1.676494e+01,1.521918e+00,1.244314e-02,-1.846085e+01,0.000000e+00,1,1.512000e-02,-1.048800e-01,1.000000e-01,0.000000e+00
