0             	0.000000e+00 0.000000e+00 0.000000e+00 1.012479e-12 -1.007275e-02 5.988935e-23 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.358614e-25 -1.162204e-24 -3.128172e-13 0.000000e+00 0.000000e+00 0.000000e+00
100           	-6.576833e-06 3.063633e-02 -3.529078e-20 8.000258e-07 -2.671102e-04 1.101973e-21 0.000000e+00 0.000000e+00 0.000000e+00 -5.909028e-22 1.729136e-22 3.261615e-07 1.526305e-23 -2.172123e-24 -7.716795e-09 0.000000e+00 0.000000e+00 0.000000e+00
200           	-7.859825e-06 3.007373e-02 -3.453097e-20 2.401956e-07 -2.501002e-04 5.425581e-22 0.000000e+00 0.000000e+00 0.000000e+00 -5.790108e-22 1.786655e-22 5.331196e-07 8.088223e-24 -3.290210e-24 1.745934e-09 0.000000e+00 0.000000e+00 0.000000e+00
300           	7.871487e-06 2.999304e-02 -3.413275e-20 1.130514e-06 -2.447999e-04 6.106025e-22 0.000000e+00 0.000000e+00 0.000000e+00 -5.734950e-22 2.086977e-22 -3.353651e-07 9.025098e-24 -5.592553e-24 -3.164437e-08 0.000000e+00 0.000000e+00 0.000000e+00
400           	2.418779e-06 3.028399e-02 -3.400097e-20 -3.448020e-07 -2.439804e-04 8.279724e-22 0.000000e+00 0.000000e+00 0.000000e+00 -5.721908e-22 2.513929e-22 -3.809927e-07 1.152555e-23 -9.225902e-24 1.144316e-08 0.000000e+00 0.000000e+00 0.000000e+00
500           	-4.749418e-06 3.034994e-02 -3.394558e-20 5.391384e-07 -2.440172e-04 7.974487e-22 0.000000e+00 0.000000e+00 0.000000e+00 -5.712225e-22 2.634330e-22 6.386538e-07 1.104448e-23 -1.007317e-23 -1.416614e-08 0.000000e+00 0.000000e+00 0.000000e+00
600           	8.911886e-06 3.032651e-02 -3.399137e-20 1.442647e-07 -2.441554e-04 1.379836e-21 0.000000e+00 0.000000e+00 0.000000e+00 -5.722355e-22 2.588761e-22 -9.402917e-07 1.895666e-23 -8.356689e-24 -4.901039e-09 0.000000e+00 0.000000e+00 0.000000e+00
700           	-1.348985e-05 3.029795e-02 -3.381082e-20 -5.328987e-07 -2.442957e-04 1.227384e-21 0.000000e+00 0.000000e+00 0.000000e+00 -5.686370e-22 2.686130e-22 1.158903e-06 1.772089e-23 -9.762332e-24 2.148762e-08 0.000000e+00 0.000000e+00 0.000000e+00
800           	1.762408e-05 3.028275e-02 -3.373745e-20 1.584774e-06 -2.443983e-04 8.819327e-22 0.000000e+00 0.000000e+00 0.000000e+00 -5.676575e-22 2.715074e-22 -1.176666e-06 1.236926e-23 -1.242076e-23 -5.116539e-08 0.000000e+00 0.000000e+00 0.000000e+00
900           	-1.483529e-05 3.028142e-02 -3.381907e-20 -2.110037e-06 -2.444681e-04 9.034372e-22 0.000000e+00 0.000000e+00 0.000000e+00 -5.688289e-22 2.675480e-22 6.261169e-07 1.220014e-23 -8.328019e-24 6.952618e-08 0.000000e+00 0.000000e+00 0.000000e+00
1000          	7.030127e-06 3.029336e-02 -3.396980e-20 2.722871e-06 -2.445087e-04 9.940692e-22 0.000000e+00 0.000000e+00 0.000000e+00 -5.715699e-22 2.577300e-22 4.053150e-07 1.472356e-23 -9.430752e-24 -8.294559e-08 0.000000e+00 0.000000e+00 0.000000e+00
1100          	1.109931e-05 3.031784e-02 -3.406160e-20 -1.953825e-06 -2.445482e-04 7.766474e-22 0.000000e+00 0.000000e+00 0.000000e+00 -5.736687e-22 2.558224e-22 -2.015773e-06 1.089714e-23 -1.210187e-23 5.802242e-08 0.000000e+00 0.000000e+00 0.000000e+00
1200          	-3.137142e-05 3.035602e-02 -3.412621e-20 5.005642e-07 -2.445845e-04 8.922947e-22 0.000000e+00 0.000000e+00 0.000000e+00 -5.740131e-22 2.553726e-22 3.509050e-06 1.253193e-23 -6.892987e-24 -4.984155e-09 0.000000e+00 0.000000e+00 0.000000e+00
1300          	5.249927e-05 3.040741e-02 -3.423379e-20 2.530415e-06 -2.446018e-04 1.138412e-21 0.000000e+00 0.000000e+00 0.000000e+00 -5.773554e-22 2.529764e-22 -4.493432e-06 1.697112e-23 -8.974579e-24 -8.961108e-08 0.000000e+00 0.000000e+00 0.000000e+00
1400          	-5.852686e-05 3.047698e-02 -3.428401e-20 -5.446716e-06 -2.445919e-04 9.295706e-22 0.000000e+00 0.000000e+00 0.000000e+00 -5.771077e-22 2.593954e-22 3.892881e-06 1.312011e-23 -1.127544e-23 1.826034e-07 0.000000e+00 0.000000e+00 0.000000e+00
1500          	4.354124e-05 3.056337e-02 -3.446774e-20 7.797851e-06 -2.445697e-04 9.067593e-22 0.000000e+00 0.000000e+00 0.000000e+00 -5.814639e-22 2.525236e-22 -1.254919e-06 1.279539e-23 -6.769519e-24 -2.461651e-07 0.000000e+00 0.000000e+00 0.000000e+00
